brand_name,generic_name,key
anastrozole,anastrozole,anastrozole
mebendazole,mebendazole,mebendazole
meclofenamate sodium,meclofenamate sodium,meclofenamate sodium
medroxyprogesterone acetate,medroxyprogesterone acetate,medroxyprogesterone acetate
mefenamic acid,mefenamic acid,mefenamic acid
megestrol acetate,megestrol acetate,megestrol acetate
meloxicam,meloxicam,meloxicam
meprobamate,meprobamate,meprobamate
mercaptopurine,mercaptopurine,mercaptopurine
meropenem,meropenem,meropenem
acarbose,acarbose,acarbose
mesalamine,mesalamine,mesalamine
mesalamine,mesalamine w/cleansing wipes,mesalamine
mesna,mesna,mesna
metaproterenol sulfate,metaproterenol sulfate,metaproterenol sulfate
methazolamide,methazolamide,methazolamide
methenamine hippurate,methenamine hippurate,methenamine hippurate
methenamine mandelate,methenamine mandelate,methenamine mandelate
methimazole,methimazole,methimazole
methocarbamol,methocarbamol,methocarbamol
methotrexate,methotrexate sodium,methotrexate
methotrexate,methotrexate sodium/pf,methotrexate
methotrexate sodium,methotrexate sodium/pf,methotrexate sodium
methoxsalen,"methoxsalen, rapid",methoxsalen
methyclothiazide,methyclothiazide,methyclothiazide
methyldopa,methyldopa,methyldopa
methylene blue,methylene blue,methylene blue
methylergonovine maleate,methylergonovine maleate,methylergonovine maleate
methylprednisolone,methylprednisolone,methylprednisolone
methylprednisolone acetate,methylprednisolone acetate,methylprednisolone acetate
methyltestosterone,methyltestosterone,methyltestosterone
metipranolol,metipranolol,metipranolol
metolazone,metolazone,metolazone
metoprolol succinate,metoprolol succinate,metoprolol succinate
metoprolol tartrate,metoprolol tartrate,metoprolol tartrate
metronidazole,metronidazole,metronidazole
metronidazole,metronidazole/sodium chloride,metronidazole
milrinone lactate,milrinone lactate,milrinone lactate
minoxidil,minoxidil,minoxidil
mirtazapine,mirtazapine,mirtazapine
misoprostol,misoprostol,misoprostol
mitomycin,mitomycin,mitomycin
modafinil,modafinil,modafinil
mometasone furoate,mometasone furoate,mometasone furoate
montelukast sodium,montelukast sodium,montelukast sodium
morphine sulfate,morphine sulfate,morphine sulfate
morphine sulfate,morphine sulfate/pf,morphine sulfate
aripiprazole,aripiprazole,aripiprazole
mupirocin,mupirocin,mupirocin
mupirocin,mupirocin calcium,mupirocin
mycophenolate mofetil,mycophenolate mofetil,mycophenolate mofetil
mycophenolic acid,mycophenolate sodium,mycophenolic acid
nabumetone,nabumetone,nabumetone
nadolol,nadolol,nadolol
nafcillin,"nafcillin in dextrose,iso-osm",nafcillin
nafcillin sodium,nafcillin sodium,nafcillin sodium
naproxen,naproxen,naproxen
naproxen sodium,naproxen sodium,naproxen sodium
nateglinide,nateglinide,nateglinide
neomycin sulfate,neomycin sulfate,neomycin sulfate
neostigmine methylsulfate,neostigmine methylsulfate,neostigmine methylsulfate
nevirapine,nevirapine,nevirapine
atenolol,atenolol,atenolol
nifedipine,nifedipine,nifedipine
nimodipine,nimodipine,nimodipine
nisoldipine,nisoldipine,nisoldipine
nitrofurantoin,nitrofurantoin,nitrofurantoin
nitrofurantoin,nitrofurantoin macrocrystal,nitrofurantoin
nitroglycerin,nitroglycerin,nitroglycerin
nizatidine,nizatidine,nizatidine
atorvastatin calcium,atorvastatin calcium,atorvastatin calcium
norethindrone,norethindrone,norethindrone
atovaquone,atovaquone,atovaquone
atracurium besylate,atracurium besylate,atracurium besylate
norethindrone acetate,norethindrone acetate,norethindrone acetate
atropine sulfate,atropine sulfate,atropine sulfate
nystatin,nystatin,nystatin
octreotide acetate,octreotide acetate,octreotide acetate
ofloxacin,ofloxacin,ofloxacin
olanzapine,olanzapine,olanzapine
atropine sulfate,atropine sulfate/pf,atropine sulfate
omeprazole,omeprazole,omeprazole
opium tincture,opium tincture,opium tincture
azacitidine,azacitidine,azacitidine
orphenadrine citrate,orphenadrine citrate,orphenadrine citrate
oxacillin sodium,oxacillin sodium,oxacillin sodium
oxacillin,"oxacillin sodium/dextrose,iso",oxacillin
oxaliplatin,oxaliplatin,oxaliplatin
oxandrolone,oxandrolone,oxandrolone
oxaprozin,oxaprozin,oxaprozin
oxazepam,oxazepam,oxazepam
oxcarbazepine,oxcarbazepine,oxcarbazepine
oxybutynin chloride,oxybutynin chloride,oxybutynin chloride
azathioprine,azathioprine,azathioprine
oxytocin,oxytocin,oxytocin
paclitaxel,paclitaxel,paclitaxel
pamidronate disodium,pamidronate disodium,pamidronate disodium
pantoprazole sodium,pantoprazole sodium,pantoprazole sodium
amino acids,parenteral amino acid 15% no.1,amino acids
paricalcitol,paricalcitol,paricalcitol
paromomycin sulfate,paromomycin sulfate,paromomycin sulfate
azithromycin,azithromycin,azithromycin
penicillin g potassium,penicillin g potassium,penicillin g potassium
penicillin g sodium,penicillin g sodium,penicillin g sodium
penicillin v potassium,penicillin v potassium,penicillin v potassium
pentoxifylline,pentoxifylline,pentoxifylline
azithromycin,azithromycin hydrogen citrate,azithromycin
perindopril erbumine,perindopril erbumine,perindopril erbumine
permethrin,permethrin,permethrin
perphenazine,perphenazine,perphenazine
phenelzine sulfate,phenelzine sulfate,phenelzine sulfate
phenobarbital,phenobarbital,phenobarbital
phenobarbital sodium,phenobarbital sodium,phenobarbital sodium
aztreonam,aztreonam,aztreonam
phentolamine mesylate,phentolamine mesylate,phentolamine mesylate
phenytoin,phenytoin,phenytoin
phenytoin sodium,phenytoin sodium,phenytoin sodium
pimozide,pimozide,pimozide
pindolol,pindolol,pindolol
piperacillin,piperacillin sodium,piperacillin
piroxicam,piroxicam,piroxicam
bacitracin,bacitracin,bacitracin
baclofen,baclofen,baclofen
podofilox,podofilox,podofilox
polymyxin b sulfate,polymyxin b sulfate,polymyxin b sulfate
potassium chloride,pot chloride/pot bicarb/cit ac,potassium chloride
potassium acetate,potassium acetate,potassium acetate
potassium bicarbonate,potassium bicarbonate/cit ac,potassium bicarbonate
potassium chloride,potassium chloride,potassium chloride
potassium citrate,potassium citrate,potassium citrate
balsalazide disodium,balsalazide disodium,balsalazide disodium
pravastatin sodium,pravastatin sodium,pravastatin sodium
prednicarbate,prednicarbate,prednicarbate
prednisolone,prednisolone,prednisolone
prednisolone acetate,prednisolone acetate,prednisolone acetate
prednisolone sodium phosphate,prednisolone sod phosphate,prednisolone sodium phosphate
prednisone,prednisone,prednisone
primaquine,primaquine phosphate,primaquine
primidone,primidone,primidone
probenecid,probenecid,probenecid
prochlorperazine,prochlorperazine,prochlorperazine
prochlorperazine maleate,prochlorperazine,prochlorperazine maleate
prochlorperazine edisylate,prochlorperazine edisylate,prochlorperazine edisylate
prochlorperazine maleate,prochlorperazine maleate,prochlorperazine maleate
progesterone,progesterone,progesterone
progesterone,"progesterone,micronized",progesterone
propantheline bromide,propantheline bromide,propantheline bromide
propylthiouracil,propylthiouracil,propylthiouracil
pyrazinamide,pyrazinamide,pyrazinamide
pyridostigmine bromide,pyridostigmine bromide,pyridostigmine bromide
quetiapine fumarate,quetiapine fumarate,quetiapine fumarate
quinidine gluconate,quinidine gluconate,quinidine gluconate
quinidine sulfate,quinidine sulfate,quinidine sulfate
quinine sulfate,quinine sulfate,quinine sulfate
rabeprazole sodium,rabeprazole sodium,rabeprazole sodium
ramipril,ramipril,ramipril
repaglinide,repaglinide,repaglinide
reserpine,reserpine,reserpine
ribavirin,ribavirin,ribavirin
rifabutin,rifabutin,rifabutin
rifampin,rifampin,rifampin
riluzole,riluzole,riluzole
risedronate sodium,risedronate sodium,risedronate sodium
risperidone,risperidone,risperidone
rivastigmine,rivastigmine,rivastigmine
benzonatate,benzonatate,benzonatate
rivastigmine,rivastigmine tartrate,rivastigmine
rizatriptan,rizatriptan benzoate,rizatriptan
rocuronium bromide,rocuronium bromide,rocuronium bromide
salicylic acid,salicylic acid,salicylic acid
salicylic acid,salicylic acid/ceramide cmb #1,salicylic acid
salsalate,salsalate,salsalate
scopolamine hydrobromide,scopolamine hydrobromide,scopolamine hydrobromide
benzoyl peroxide,benzoyl peroxide,benzoyl peroxide
selenium sulfide,selenium sulfide,selenium sulfide
sevelamer carbonate,sevelamer carbonate,sevelamer carbonate
sildenafil,sildenafil citrate,sildenafil
silver nitrate,silver nitrate,silver nitrate
silver sulfadiazine,silver sulfadiazine,silver sulfadiazine
simvastatin,simvastatin,simvastatin
sirolimus,sirolimus,sirolimus
sodium acetate,sodium acetate,sodium acetate
sodium bicarbonate,sodium bicarbonate,sodium bicarbonate
sodium chloride,sodium chloride,sodium chloride
sodium chloride,sodium chloride 0.45 %,sodium chloride
sodium chloride,sodium chloride 3 %,sodium chloride
sodium chloride,sodium chloride 5 %,sodium chloride
sodium chloride,sodium chloride for inhalation,sodium chloride
sodium chloride,sodium chloride irrig solution,sodium chloride
sodium fluoride,sodium fluoride,sodium fluoride
benzoyl peroxide,benzoyl peroxide microspheres,benzoyl peroxide
sodium phenylbutyrate,sodium phenylbutyrate,sodium phenylbutyrate
sodium phosphate,"sodium phos,m-basic-d-basic",sodium phosphate
sodium polystyrene sulfonate,sodium polystyrene sulfonate,sodium polystyrene sulfonate
sodium thiosulfate,sodium thiosulfate,sodium thiosulfate
benzoyl peroxide,benzoyl peroxide&skin cleansr5,benzoyl peroxide
sotalol,sotalol hcl,sotalol
spironolactone,spironolactone,spironolactone
stannous fluoride,stannous fluoride,stannous fluoride
stavudine,stavudine,stavudine
streptomycin sulfate,streptomycin sulfate,streptomycin sulfate
benzoyl peroxide,benzoyl peroxide/urea,benzoyl peroxide
sucralfate,sucralfate,sucralfate
sulfacetamide sodium,sulfacetamide sodium,sulfacetamide sodium
benztropine mesylate,benztropine mesylate,benztropine mesylate
sulfacetamide sodium,sulfacetamide sodium/urea,sulfacetamide sodium
sulfadiazine,sulfadiazine,sulfadiazine
sulfasalazine,sulfasalazine,sulfasalazine
sulindac,sulindac,sulindac
sumatriptan,sumatriptan,sumatriptan
sumatriptan succinate,sumatriptan succinate,sumatriptan succinate
betamethasone dipropionate,betamethasone dipropionate,betamethasone dipropionate
betamethasone valerate,betamethasone valerate,betamethasone valerate
betamethasone dipropionate,betamethasone/propylene glyc,betamethasone dipropionate
tacrolimus,tacrolimus,tacrolimus
tamoxifen citrate,tamoxifen citrate,tamoxifen citrate
bethanechol chloride,bethanechol chloride,bethanechol chloride
telmisartan,telmisartan,telmisartan
temazepam,temazepam,temazepam
terbutaline sulfate,terbutaline sulfate,terbutaline sulfate
terconazole,terconazole,terconazole
bexarotene,bexarotene,bexarotene
testosterone,testosterone,testosterone
testosterone cypionate,testosterone cypionate,testosterone cypionate
testosterone enanthate,testosterone enanthate,testosterone enanthate
bicalutamide,bicalutamide,bicalutamide
tetanus toxoid adsorbed,"tetanus toxoid, adsorbed/pf",tetanus toxoid adsorbed
tetrabenazine,tetrabenazine,tetrabenazine
theophylline,theophylline anhydrous,theophylline
bimatoprost,bimatoprost,bimatoprost
thiotepa,thiotepa,thiotepa
thiothixene,thiothixene,thiothixene
timolol maleate,timolol maleate,timolol maleate
tinidazole,tinidazole,tinidazole
tobramycin,tobramycin,tobramycin
tobramycin,tobramycin in 0.225% nacl,tobramycin
tobramycin sulfate,tobramycin sulfate,tobramycin sulfate
tolazamide,tolazamide,tolazamide
tolbutamide,tolbutamide,tolbutamide
tolcapone,tolcapone,tolcapone
tolmetin sodium,tolmetin sodium,tolmetin sodium
tolterodine tartrate,tolterodine tartrate,tolterodine tartrate
topiramate,topiramate,topiramate
torsemide,torsemide,torsemide
trandolapril,trandolapril,trandolapril
bisoprolol fumarate,bisoprolol fumarate,bisoprolol fumarate
tranexamic acid,tranexamic acid,tranexamic acid
tranylcypromine sulfate,tranylcypromine sulfate,tranylcypromine sulfate
travoprost,travoprost (benzalkonium),travoprost
tretinoin,tretinoin,tretinoin
tretinoin,tretinoin/emollient base,tretinoin
triamcinolone acetonide,triamcinolone acetonide,triamcinolone acetonide
triazolam,triazolam,triazolam
bleomycin sulfate,bleomycin sulfate,bleomycin sulfate
trifluridine,trifluridine,trifluridine
trimethoprim,trimethoprim,trimethoprim
trimipramine maleate,trimipramine maleate,trimipramine maleate
tropicamide,tropicamide,tropicamide
trospium chloride,trospium chloride,trospium chloride
urea,urea,urea
urea,urea/lactic ac/zn undecylenate,urea
urea,urea/lactic acid/salicylic ac,urea
ursodiol,ursodiol,ursodiol
valproic acid,valproic acid,valproic acid
valproate sodium,valproic acid (as sodium salt),valproate sodium
valproic acid,valproic acid (as sodium salt),valproic acid
valsartan,valsartan,valsartan
acetazolamide,acetazolamide,acetazolamide
vancomycin,"vancomycin in dextrose,iso-osm",vancomycin
vandetanib,vandetanib,vandetanib
brimonidine tartrate,brimonidine tartrate,brimonidine tartrate
vasopressin,vasopressin,vasopressin
vinblastine sulfate,vinblastine sulfate,vinblastine sulfate
vincristine sulfate,vincristine sulfate,vincristine sulfate
vinorelbine tartrate,vinorelbine tartrate,vinorelbine tartrate
voriconazole,voriconazole,voriconazole
warfarin sodium,warfarin sodium,warfarin sodium
zafirlukast,zafirlukast,zafirlukast
zaleplon,zaleplon,zaleplon
zidovudine,zidovudine,zidovudine
bromfenac sodium,bromfenac sodium,bromfenac sodium
zinc sulfate,zinc sulfate,zinc sulfate
zoledronic acid,zoledronic acid,zoledronic acid
zoledronic acid,zoledronic acid/mannitol&water,zoledronic acid
zolmitriptan,zolmitriptan,zolmitriptan
zolpidem tartrate,zolpidem tartrate,zolpidem tartrate
zonisamide,zonisamide,zonisamide
bromocriptine mesylate,bromocriptine mesylate,bromocriptine mesylate
acetazolamide sodium,acetazolamide sodium,acetazolamide sodium
budesonide,budesonide,budesonide
acetic acid,acetic acid,acetic acid
bumetanide,bumetanide,bumetanide
butorphanol tartrate,butorphanol tartrate,butorphanol tartrate
cabergoline,cabergoline,cabergoline
caffeine citrate,caffeine citrated,caffeine citrate
calcipotriene,calcipotriene,calcipotriene
calcitriol,calcitriol,calcitriol
calcium acetate,calcium acetate,calcium acetate
calcium chloride,calcium chloride,calcium chloride
calcium gluconate,calcium gluconate,calcium gluconate
candesartan cilexetil,candesartan cilexetil,candesartan cilexetil
capecitabine,capecitabine,capecitabine
captopril,captopril,captopril
carbamazepine,carbamazepine,carbamazepine
carbinoxamine maleate,carbinoxamine maleate,carbinoxamine maleate
carboplatin,carboplatin,carboplatin
carisoprodol,carisoprodol,carisoprodol
carvedilol,carvedilol,carvedilol
cefaclor,cefaclor,cefaclor
cefadroxil,cefadroxil,cefadroxil
cefazolin sodium,cefazolin sodium,cefazolin sodium
cefazolin,"cefazolin sodium/dextrose,iso",cefazolin
cefazolin sodium,"cefazolin sodium/dextrose,iso",cefazolin sodium
cefdinir,cefdinir,cefdinir
acetylcysteine,acetylcysteine,acetylcysteine
cefditoren pivoxil,cefditoren pivoxil,cefditoren pivoxil
cefepime,"cefepime hcl/dextrose, iso-osm",cefepime
cefixime,cefixime,cefixime
cefotaxime sodium,cefotaxime sodium,cefotaxime sodium
acitretin,acitretin,acitretin
cefotetan,cefotetan disodium,cefotetan
cefoxitin,cefoxitin sodium,cefoxitin
cefoxitin sodium,"cefoxitin sodium/dextrose,iso",cefoxitin sodium
cefpodoxime proxetil,cefpodoxime proxetil,cefpodoxime proxetil
cefprozil,cefprozil,cefprozil
ceftazidime,ceftazidime,ceftazidime
ceftazidime,ceftazidime in dextrose5%water,ceftazidime
ceftibuten,ceftibuten,ceftibuten
ceftriaxone,"ceftriaxone na/dextrose,iso",ceftriaxone
ceftriaxone,ceftriaxone sodium,ceftriaxone
cefuroxime,cefuroxime axetil,cefuroxime
cefuroxime axetil,cefuroxime axetil,cefuroxime axetil
cefuroxime sodium,cefuroxime sodium,cefuroxime sodium
celecoxib,celecoxib,celecoxib
cephalexin,cephalexin,cephalexin
acyclovir,acyclovir,acyclovir
chloral hydrate,chloral hydrate,chloral hydrate
chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate
chloroquine phosphate,chloroquine phosphate,chloroquine phosphate
chlorothiazide,chlorothiazide,chlorothiazide
chlorothiazide sodium,chlorothiazide sodium,chlorothiazide sodium
acyclovir sodium,acyclovir sodium,acyclovir sodium
chlorpropamide,chlorpropamide,chlorpropamide
chlorthalidone,chlorthalidone,chlorthalidone
chlorzoxazone,chlorzoxazone,chlorzoxazone
adapalene,adapalene,adapalene
ciclopirox,ciclopirox,ciclopirox
ciclopirox,ciclopirox olamine,ciclopirox
ciclopirox,ciclopirox/ure/camph/menth/euc,ciclopirox
ciclopirox,ciclopirox/vite/nail lacq remo,ciclopirox
cidofovir,cidofovir,cidofovir
cilostazol,cilostazol,cilostazol
cimetidine,cimetidine,cimetidine
cimetidine,cimetidine hcl,cimetidine
ciprofloxacin,ciprofloxacin,ciprofloxacin
ciprofloxacin,ciprofloxacin lactate,ciprofloxacin
cisplatin,cisplatin,cisplatin
adefovir dipivoxil,adefovir dipivoxil,adefovir dipivoxil
citalopram,citalopram hydrobromide,citalopram
clarithromycin,clarithromycin,clarithromycin
clemastine fumarate,clemastine fumarate,clemastine fumarate
clindamycin phosphate,clindamycin phosphate,clindamycin phosphate
clobetasol propionate,clobetasol propionate,clobetasol propionate
clocortolone pivalate,clocortolone pivalate,clocortolone pivalate
clomiphene citrate,clomiphene citrate,clomiphene citrate
clonazepam,clonazepam,clonazepam
clonidine,clonidine,clonidine
clopidogrel,clopidogrel bisulfate,clopidogrel
clorazepate dipotassium,clorazepate dipotassium,clorazepate dipotassium
clotrimazole,clotrimazole,clotrimazole
clozapine,clozapine,clozapine
codeine sulfate,codeine sulfate,codeine sulfate
colchicine,colchicine,colchicine
cortisone,cortisone acetate,cortisone
cortisone acetate,cortisone acetate,cortisone acetate
cromolyn sodium,cromolyn sodium,cromolyn sodium
folic acid,cyanocobalamin/fa/pyridoxine,folic acid
cyclophosphamide,cyclophosphamide,cyclophosphamide
cycloserine,cycloserine,cycloserine
cyclosporine,cyclosporine,cyclosporine
cyclosporine,"cyclosporine, modified",cyclosporine
cytarabine,cytarabine,cytarabine
cytarabine,cytarabine/pf,cytarabine
dacarbazine,dacarbazine,dacarbazine
danazol,danazol,danazol
dantrolene sodium,dantrolene sodium,dantrolene sodium
albuterol sulfate,albuterol sulfate,albuterol sulfate
dapsone,dapsone,dapsone
decitabine,decitabine,decitabine
deferoxamine mesylate,deferoxamine mesylate,deferoxamine mesylate
desloratadine,desloratadine,desloratadine
desmopressin acetate,desmopressin (nonrefrigerated),desmopressin acetate
desmopressin acetate,desmopressin acetate,desmopressin acetate
desonide,desonide,desonide
desoximetasone,desoximetasone,desoximetasone
dexamethasone,dexamethasone,dexamethasone
dexamethasone sodium phosphate,dexamethasone sod phosphate,dexamethasone sodium phosphate
dexamethasone sodium phosphate,dexamethasone sodium phosp/pf,dexamethasone sodium phosphate
dexchlorpheniramine maleate,dexchlorpheniramine maleate,dexchlorpheniramine maleate
alclometasone dipropionate,alclometasone dipropionate,alclometasone dipropionate
dexrazoxane,dexrazoxane hcl,dexrazoxane
dextroamphetamine sulfate,dextroamphetamine sulfate,dextroamphetamine sulfate
glucose,dextrose,glucose
diazepam,diazepam,diazepam
diclofenac potassium,diclofenac potassium,diclofenac potassium
diclofenac sodium,diclofenac sodium,diclofenac sodium
dicloxacillin sodium,dicloxacillin sodium,dicloxacillin sodium
didanosine,didanosine,didanosine
diflorasone diacetate,diflorasone diacetate,diflorasone diacetate
diflunisal,diflunisal,diflunisal
dihydroergotamine mesylate,dihydroergotamine mesylate,dihydroergotamine mesylate
hydroquinone,dioxybenzone/pdo/hydroquinone,hydroquinone
dipyridamole,dipyridamole,dipyridamole
disopyramide phosphate,disopyramide phosphate,disopyramide phosphate
disulfiram,disulfiram,disulfiram
divalproex sodium,divalproex sodium,divalproex sodium
docetaxel,docetaxel,docetaxel
domperidone,domperidone,domperidone
doxazosin mesylate,doxazosin mesylate,doxazosin mesylate
doxercalciferol,doxercalciferol,doxercalciferol
abacavir,abacavir sulfate,abacavir
doxycycline hyclate,doxycycline hyclate,doxycycline hyclate
dronabinol,dronabinol,dronabinol
droperidol,droperidol,droperidol
dutasteride,dutasteride,dutasteride
econazole nitrate,econazole nitrate,econazole nitrate
alendronate sodium,alendronate sodium,alendronate sodium
enalapril maleate,enalapril maleate,enalapril maleate
enoxaparin sodium,enoxaparin sodium,enoxaparin sodium
entacapone,entacapone,entacapone
entecavir,entecavir,entecavir
ephedrine sulfate,ephedrine sulfate,ephedrine sulfate
epinephrine,epinephrine,epinephrine
epinephrine,epinephrine hcl/pf,epinephrine
eplerenone,eplerenone,eplerenone
eprosartan mesylate,eprosartan mesylate,eprosartan mesylate
ergoloid mesylates,ergoloid mesylates,ergoloid mesylates
erythromycin,erythromycin base,erythromycin
erythromycin,erythromycin base/ethanol,erythromycin
erythromycin ethylsuccinate,erythromycin ethylsuccinate,erythromycin ethylsuccinate
escitalopram oxalate,escitalopram oxalate,escitalopram oxalate
esomeprazole magnesium,esomeprazole magnesium,esomeprazole magnesium
esomeprazole sodium,esomeprazole sodium,esomeprazole sodium
esomeprazole strontium,esomeprazole strontium,esomeprazole strontium
estazolam,estazolam,estazolam
estradiol,estradiol,estradiol
estradiol valerate,estradiol valerate,estradiol valerate
estropipate,estropipate,estropipate
eszopiclone,eszopiclone,eszopiclone
ethosuximide,ethosuximide,ethosuximide
allopurinol,allopurinol,allopurinol
etidronate disodium,etidronate disodium,etidronate disodium
etodolac,etodolac,etodolac
etoposide,etoposide,etoposide
almotriptan malate,almotriptan malate,almotriptan malate
exemestane,exemestane,exemestane
nicotinamide,fa/niacinamide/cupric ox/zn ox,nicotinamide
famciclovir,famciclovir,famciclovir
famotidine,famotidine,famotidine
famotidine,"famotidine in nacl,iso-osm/pf",famotidine
famotidine,famotidine/pf,famotidine
felbamate,felbamate,felbamate
fenofibrate,fenofibrate,fenofibrate
fenofibrate,fenofibrate nanocrystallized,fenofibrate
fenofibrate,"fenofibrate,micronized",fenofibrate
fenoprofen calcium,fenoprofen calcium,fenoprofen calcium
fentanyl,fentanyl,fentanyl
fentanyl citrate,fentanyl citrate,fentanyl citrate
fentanyl citrate,fentanyl citrate/pf,fentanyl citrate
finasteride,finasteride,finasteride
flecainide acetate,flecainide acetate,flecainide acetate
fluconazole,fluconazole,fluconazole
flucytosine,flucytosine,flucytosine
fludarabine phosphate,fludarabine phosphate,fludarabine phosphate
fludrocortisone acetate,fludrocortisone acetate,fludrocortisone acetate
flumazenil,flumazenil,flumazenil
alprazolam,alprazolam,alprazolam
flunisolide,flunisolide,flunisolide
fluocinolone acetonide,fluocinolone acetonide,fluocinolone acetonide
fluocinolone acetonide,fluocinolone/shower cap,fluocinolone acetonide
fluocinonide,fluocinonide,fluocinonide
fluorometholone,fluorometholone,fluorometholone
fluorouracil,fluorouracil,fluorouracil
fluphenazine decanoate,fluphenazine decanoate,fluphenazine decanoate
flurbiprofen,flurbiprofen,flurbiprofen
flurbiprofen sodium,flurbiprofen sodium,flurbiprofen sodium
flutamide,flutamide,flutamide
fluticasone propionate,fluticasone propionate,fluticasone propionate
fluvastatin sodium,fluvastatin sodium,fluvastatin sodium
fluvoxamine maleate,fluvoxamine maleate,fluvoxamine maleate
folic acid,folic acid,folic acid
fondaparinux sodium,fondaparinux sodium,fondaparinux sodium
alprostadil,alprostadil,alprostadil
foscarnet sodium,foscarnet sodium,foscarnet sodium
fosinopril sodium,fosinopril sodium,fosinopril sodium
fosphenytoin sodium,fosphenytoin sodium,fosphenytoin sodium
furosemide,furosemide,furosemide
gabapentin,gabapentin,gabapentin
galantamine hydrobromide,galantamine hbr,galantamine hydrobromide
ganciclovir sodium,ganciclovir sodium,ganciclovir sodium
gatifloxacin,gatifloxacin,gatifloxacin
gemfibrozil,gemfibrozil,gemfibrozil
gentamicin sulfate,gentamicin sulfate,gentamicin sulfate
gentamicin sulfate,gentamicin sulfate/pf,gentamicin sulfate
glimepiride,glimepiride,glimepiride
glipizide,glipizide,glipizide
glyburide,glyburide,glyburide
glycopyrrolate,glycopyrrolate,glycopyrrolate
griseofulvin,"griseofulvin, microsize",griseofulvin
guaifenesin,guaifenesin,guaifenesin
amantadine,amantadine hcl,amantadine
halobetasol propionate,halobetasol propionate,halobetasol propionate
amcinonide,amcinonide,amcinonide
haloperidol,haloperidol,haloperidol
haloperidol decanoate,haloperidol decanoate,haloperidol decanoate
haloperidol,haloperidol lactate,haloperidol
haloperidol lactate,haloperidol lactate,haloperidol lactate
hydrocortisone,"hc/mineral oil/petrolat,wht",hydrocortisone
amifostine,amifostine crystalline,amifostine
heparin sodium,"heparin sodium,porcine",heparin sodium
heparin sodium,"heparin sodium,porcine/pf",heparin sodium
amikacin sulfate,amikacin sulfate,amikacin sulfate
homatropine,homatropine hbr,homatropine
homatropine hydrobromide,homatropine hbr,homatropine hydrobromide
hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide
hydrocortisone,hydrocortisone,hydrocortisone
hydrocortisone acetate,hydrocortisone acetate,hydrocortisone acetate
hydrocortisone acetate,hydrocortisone acetate/aloe v,hydrocortisone acetate
hydrocortisone butyrate,hydrocortisone butyrate,hydrocortisone butyrate
hydrocortisone butyrate,hydrocortisone butyrate/emoll,hydrocortisone butyrate
hydrocortisone valerate,hydrocortisone valerate,hydrocortisone valerate
hydroquinone,hydroquinone,hydroquinone
hydroquinone,hydroquinone microspheres,hydroquinone
hydroxocobalamin,hydroxocobalamin,hydroxocobalamin
hydroxychloroquine sulfate,hydroxychloroquine sulfate,hydroxychloroquine sulfate
