"","client","sub","total","year","catcode"
"80","Bristol-Myers Squibb","Convatec",10000,"2008","H4400"
"81","Pharmacia Corp","Pharmacia Corp",3910000,"1999","H4300"
"82","Aventis","Aventis Pasteur USA",1480000,"2002","H4300"
"83","Sanofi","Sanofi US",4700000,"2013","H4300"
"84","Sanofi-Aventis","Aventis Pasteur USA",1e+06,"2004","H4300"
"85","Sanofi","Genzyme Corp",1505000,"2012","H4500"
"86","Sanofi","Sanofi-Pasteur Inc",271000,"2016","H4300"
"87","Schering-Plough Corp","Schering-Plough Corp",7320000,"2000","H4300"
"88","Pharmacia Corp","Pharmacia Corp",3782960,"2000","H4300"
"89","Aventis","Aventis Pasteur USA",2e+05,"1999","H4300"
"90","Aventis","Aventis Pasteur USA",1660000,"2001","H4300"
"91","Schering-Plough Corp","Schering-Plough Corp",1680000,"2001","H4300"
"92","Wyeth","Wyeth",4134375,"2002","H4300"
"93","Bristol-Myers Squibb","Bristol-Myers Squibb",5320000,"2003","H4300"
"94","Bristol-Myers Squibb","Bristol-Myers Squibb",2836000,"2013","H4300"
"95","Eli Lilly & Co","Lilly USA",150000,"2012","H4400"
"96","Aventis","Rhone-Poulenc Rorer Inc",360000,"1999","H4300"
"97","Sanofi","Sanofi US",3279000,"2016","H4300"
"98","Sanofi-Aventis","Sanofi-Aventis",13000,"2014","H4300"
"99","Schering-Plough Corp","Schering-Plough Corp",2160000,"2007","H4300"
"100","Merck & Co","Merck & Co",3560000,"2004","H4300"
"101","Merck & Co","Merck & Co",4050000,"2006","H4300"
"102","Merck & Co","Merck & Co",4830000,"2007","H4300"
"103","Merck & Co","Merck & Co",6410000,"2009","H4300"
"104","Wyeth","American Home Products",0,"2001","H4300"
"105","Eli Lilly & Co","Eli Lilly & Co",4590000,"1999","H4300"
"106","Eli Lilly & Co","Eli Lilly & Co",5300000,"2000","H4300"
"107","Eli Lilly & Co","Eli Lilly & Co",4760000,"2003","H4300"
"108","Eli Lilly & Co","Eli Lilly & Co",9800000,"2013","H4300"
"109","Aventis","Aventis Behring",50000,"2000","H4300"
"110","Aventis","Aventis Pasteur USA",2e+05,"2000","H4300"
"111","Sanofi","Genzyme Corp",1410000,"2014","H4500"
"112","Sanofi","Rhone-Poulenc Rorer Inc",760000,"1998","H4300"
"113","Pfizer Inc","Pharmacia Corp",0,"2004","H4300"
"114","Schering-Plough Corp","Schering-Plough Corp",1840000,"2002","H4300"
"115","Schering-Plough Corp","Schering-Plough Corp",1850000,"2003","H4300"
"116","Bristol-Myers Squibb","Bristol-Myers Squibb",2280000,"2016","H4300"
"117","Bristol-Myers Squibb","Convatec",0,"1999","H4400"
"118","Bristol-Myers Squibb","Convatec",175000,"2009","H4400"
"119","Eli Lilly & Co","Eli Lilly & Co",6995000,"2015","H4300"
"120","Pharmacia Corp","Pharmacia Corp",1351580,"2002","H4300"
"121","Sanofi","Sanofi Genzyme",840000,"2016","H4500"
"122","Sanofi-Aventis","Sanofi-Aventis",5940000,"2009","H4300"
"123","Sanofi-Aventis","Sanofi-Pasteur Inc",3360000,"2009","H4300"
"124","Schering-Plough Corp","Schering-Plough Corp",1650000,"1998","H4300"
"125","Sanofi","Sanofi-Aventis",0,"2015","H4300"
"126","Schering-Plough Corp","Schering-Plough Corp",1360000,"2005","H4300"
"127","Merck & Co","Merck & Co",5e+06,"1998","H4300"
"128","Wyeth","Wyeth",325743,"1999","H4300"
"129","Bristol-Myers Squibb","Bristol-Myers Squibb",4660000,"2000","H4300"
"130","Bristol-Myers Squibb","Bristol-Myers Squibb",5040000,"2005","H4300"
"131","Bristol-Myers Squibb","Bristol-Myers Squibb",3320000,"2012","H4300"
"132","Eli Lilly & Co","Eli Lilly & Co",6800000,"2002","H4300"
"133","Eli Lilly & Co","Eli Lilly & Co",3086890,"2005","H4300"
"134","Bristol-Myers Squibb","Bristol-Myers Squibb",2745000,"2014","H4300"
"135","Eli Lilly & Co","Lilly USA",280000,"2016","H4400"
"136","Aventis","Aventis Pharmaceuticals",120000,"2000","H4300"
"137","Aventis","Aventis Pharmaceuticals",220000,"2002","H4300"
"138","Sanofi","Sanofi-Pasteur Inc",504000,"2015","H4300"
"139","Sanofi-Aventis","Sanofi-Pasteur Inc",2783000,"2008","H4300"
"140","Pharmacia & Upjohn","Pharmacia & Upjohn",1585140,"1998","H4300"
"141","Sanofi","Sanofi-Pasteur Inc",614000,"2013","H4300"
"142","Sanofi-Aventis","Sanofi-Pasteur Inc",3739000,"2010","H4300"
"143","Schering-Plough Corp","Schering-Plough Corp",4680000,"1999","H4300"
"144","Merck & Co","Merck & Co",3122000,"2000","H4300"
"145","GlaxoSmithKline","GlaxoSmithKline",2740000,"1999","H4300"
"146","GlaxoSmithKline","GlaxoSmithKline",4900000,"2004","H4300"
"147","GlaxoSmithKline","GlaxoSmithKline",8760000,"2009","H4300"
"148","Bristol-Myers Squibb","Bristol-Myers Squibb",5580000,"2004","H4300"
"149","Bristol-Myers Squibb","Bristol-Myers Squibb",3436256,"2009","H4300"
"150","Eli Lilly & Co","Eli Lilly & Co",8066000,"2014","H4300"
"151","Bristol-Myers Squibb","Bristol-Myers Squibb",3620000,"1999","H4300"
"152","Bristol-Myers Squibb","Bristol-Myers Squibb",3130000,"2011","H4300"
"153","Bristol-Myers Squibb","Bristol-Myers Squibb",5740000,"2006","H4300"
"154","Bristol-Myers Squibb","Bristol-Myers Squibb",5660000,"2007","H4300"
"155","Eli Lilly & Co","Eli Lilly & Co",6500000,"2001","H4300"
"156","Eli Lilly & Co","Eli Lilly & Co",12485000,"2008","H4300"
"157","Eli Lilly & Co","Lilly USA",150000,"2014","H4400"
"158","Eli Lilly & Co","Lilly USA",170000,"2015","H4400"
"159","Sanofi-Aventis","Sanofi-Pasteur Inc",1100000,"2006","H4300"
"160","Merck & Co","Merck & Co",6030000,"2013","H4300"
"161","American Home Products","American Home Products",2460000,"1999","H4300"
"162","Bristol-Myers Squibb","Convatec",340000,"2007","H4400"
"163","Sanofi-Aventis","Sanofi-Aventis",7120000,"2007","H4300"
"164","Eli Lilly & Co","Eli Lilly & Co",3700000,"2006","H4300"
"165","Eli Lilly & Co","Eli Lilly & Co",11215000,"2009","H4300"
"166","Sanofi-Aventis","Aventis Pharmaceuticals",2914000,"2004","H4300"
"167","Wyeth","Wyeth",3666000,"2006","H4300"
"168","Abbott Laboratories","Abbott Laboratories",4880000,"2010","H4300"
"169","Johnson & Johnson","McNeil Consumer Healthcare",120000,"2012","H4100"
"170","Amgen Inc","Amgen Inc",10260000,"2010","H4300"
"171","Sanofi","Sanofi US",4070000,"2014","H4300"
"172","Sanofi-Aventis","Aventis Pasteur USA",860000,"2003","H4300"
"173","Merck & Co","Schering-Plough Corp",0,"2011","H4300"
"174","Merck & Co","Merck & Co",7460000,"2003","H4300"
"175","Merck & Co","Merck & Co",4820000,"2014","H4300"
"176","Abbott Laboratories","Abbott Laboratories",2600000,"2002","H4300"
"177","Abbott Laboratories","Abbott Laboratories",3980000,"2005","H4300"
"178","Johnson & Johnson","Johnson & Johnson",1560000,"1999","H4000"
"179","Johnson & Johnson","Ortho Biotech",260000,"2004","H4500"
"180","Amgen Inc","Amgen Inc",4960000,"2003","H4300"
"181","Merck & Co","Merck & Co",4640000,"2008","H4300"
"182","Merck & Co","Merck & Co",7330294,"2002","H4300"
"183","Merck & Co","Merck & Co",3680000,"2005","H4300"
"184","Merck & Co","Merck & Co",5540000,"2015","H4300"
"185","Merck & Co","Schering-Plough Corp",1810000,"2009","H4300"
"186","Wyeth","Wyeth",3880000,"2001","H4300"
"187","Merck & Co","Merck & Co",9510000,"2012","H4300"
"188","Wyeth","Wyeth",140000,"1998","H4300"
"189","Johnson & Johnson","Johnson & Johnson",3760000,"2002","H4000"
"190","Johnson & Johnson","Johnson & Johnson",5570000,"2013","H4000"
"191","Sanofi","Genzyme Corp",1510000,"2013","H4500"
"192","Sanofi","Sanofi US",4370000,"2015","H4300"
"193","Sanofi","Sanofi-Pasteur Inc",674000,"2011","H4300"
"194","Sanofi-Aventis","Sanofi-Pasteur Inc",1e+06,"2005","H4300"
"195","Merck & Co","Schering-Plough Corp",0,"2010","H4300"
"196","Wyeth","Wyeth",4240000,"2004","H4300"
"197","American Home Products","American Home Products",2210000,"1998","H4300"
"198","Wyeth","Wyeth",3302568,"2008","H4300"
"199","Abbott Laboratories","Abbott Diabetes Care",0,"2006","H4100"
"200","Abbott Laboratories","Abbott Diabetes Care",0,"2009","H4100"
"201","Amgen Inc","Amgen Inc",9120000,"2013","H4300"
"202","Sanofi","Sanofi US",5989000,"2011","H4300"
"203","Sanofi-Aventis","Sanofi-Pasteur Inc",1300000,"2007","H4300"
"204","American Home Products","American Home Products",4037551,"2000","H4300"
"205","Aventis","Aventis Pharmaceuticals",1160000,"1999","H4300"
"206","Wyeth","Wyeth",2470000,"2007","H4300"
"207","Johnson & Johnson","Ortho Biotech",220000,"2006","H4500"
"208","Amgen Inc","Amgen Inc",5720000,"2005","H4300"
"209","Merck & Co","Merck & Co",8245000,"2011","H4300"
"210","Johnson & Johnson","Johnson & Johnson",1580000,"1998","H4000"
"211","Johnson & Johnson","McNeil Consumer Healthcare",60000,"2014","H4100"
"212","Pharmaceutical Research & Manufacturers of America","We Work for Health",450000,"2009","H4300"
"213","Abbott Laboratories","Abbott Laboratories",4840000,"2000","H4300"
"214","Abbott Laboratories","Abbott Laboratories",2480000,"2003","H4300"
"215","Abbott Laboratories","Abbott Laboratories",2060000,"2013","H4300"
"216","Johnson & Johnson","Johnson & Johnson",6520000,"2010","H4000"
"217","Johnson & Johnson","Johnson & Johnson",5710000,"2011","H4000"
"218","Amgen Inc","Amgen Inc",2940000,"2002","H4300"
"219","Abbott Laboratories","Abbott Laboratories",2080000,"2014","H4300"
"220","Johnson & Johnson","Johnson & Johnson",6230000,"2015","H4000"
"221","Johnson & Johnson","Ortho Biotech",340000,"2003","H4500"
"222","Johnson & Johnson","Ortho Biotech",240000,"2005","H4500"
"223","Amgen Inc","Amgen Inc",10525000,"2015","H4300"
"224","Abbott Laboratories","Abbott Laboratories",2480000,"2015","H4300"
"225","Abbott Laboratories","Abbott Nutrition",20000,"2006","H4300"
"226","Abbott Laboratories","Abbott Nutrition",0,"2009","H4300"
"227","Johnson & Johnson","Ortho Biotech",90000,"2002","H4500"
"228","Amgen Inc","Amgen Inc",8560000,"2014","H4300"
"229","Abbott Laboratories","Abbott Nutrition",20000,"2007","H4300"
"230","Johnson & Johnson","Johnson & Johnson",4340000,"2003","H4000"
"231","Johnson & Johnson","Johnson & Johnson",5380000,"2005","H4000"
"232","Johnson & Johnson","Johnson & Johnson",5760000,"2012","H4000"
"233","Amgen Inc","Amgen Inc",2360000,"1998","H4300"
"234","Amgen Inc","Amgen Inc",2680000,"2000","H4300"
"235","Pharmaceutical Research & Manufacturers of America","We Work for Health",20000,"2016","H4300"
"236","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",18100000,"2006","H4300"
"237","Abbott Laboratories","Abbott Laboratories",2980000,"2001","H4300"
"238","Johnson & Johnson","Centocor Inc",280000,"1999","H4300"
"239","Johnson & Johnson","Johnson & Johnson",3240000,"2001","H4000"
"240","Johnson & Johnson","Johnson & Johnson",5920000,"2014","H4000"
"241","Amgen Inc","Amgen Inc",3080000,"2001","H4300"
"242","Amgen Inc","Amgen Inc",10150000,"2008","H4300"
"243","Eli Lilly & Co","Lilly USA",30000,"2009","H4400"
"244","Sanofi","Sanofi-Pasteur Inc",493000,"2014","H4300"
"245","Sanofi-Aventis","Sanofi-Aventis",5100000,"2008","H4300"
"246","Abbott Laboratories","Abbott Laboratories",4760000,"2004","H4300"
"247","Abbott Laboratories","Abbott Laboratories",2360000,"2006","H4300"
"248","Abbott Laboratories","Abbott Laboratories",4360000,"2007","H4300"
"249","Abbott Laboratories","Abbott Laboratories",4670000,"2009","H4300"
"250","Abbott Laboratories","Abbott Nutrition",30000,"2008","H4300"
"251","Johnson & Johnson","Johnson & Johnson",6385000,"2009","H4000"
"252","Amgen Inc","Amgen Inc",12440000,"2009","H4300"
"253","Pharmaceutical Research & Manufacturers of America","Partnership to Fight Chronic Disease",162500,"2013","H4300"
"254","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",14260000,"2002","H4300"
"255","Abbott Laboratories","Abbott Laboratories",6020000,"2012","H4300"
"256","Amgen Inc","Amgen Inc",9310000,"2012","H4300"
"257","Pharmaceutical Research & Manufacturers of America","We Work for Health",820000,"2011","H4300"
"258","Johnson & Johnson","LifeScan Inc",30000,"2009","H4100"
"259","Johnson & Johnson","McNeil Consumer Healthcare",96000,"2011","H4100"
"260","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",18790000,"2011","H4300"
"261","Abbott Laboratories","Abbott Diabetes Care",0,"2007","H4100"
"262","Pharmaceutical Research & Manufacturers of America","Partnership to Fight Chronic Disease",180000,"2009","H4300"
"263","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",7480000,"2000","H4300"
"264","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",16040000,"2003","H4300"
"265","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",17740000,"2013","H4300"
"266","AstraZeneca Pharmaceuticals","AstraZeneca Pharmaceuticals",1160000,"2002","H4300"
"267","AstraZeneca Pharmaceuticals","AstraZeneca Pharmaceuticals",1520000,"2003","H4300"
"268","AstraZeneca Pharmaceuticals","AstraZeneca Pharmaceuticals",2640000,"2005","H4300"
"269","Bayer Corp","Bayer Corp",1109918,"1999","H4300"
"270","Baxter International","Baxter Healthcare",2040000,"2006","H4100"
"271","Tyco International","Covidien Ltd",40000,"2006","H4000"
"272","Tyco International","Mallinckrodt Inc",120000,"2002","H4100"
"273","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",26150520,"2009","H4300"
"274","Tyco International","Tyco International",1700000,"2006","H4100"
"275","Baxter International","Baxter Healthcare",2970000,"2008","H4100"
"276","DuPont Co","DuPont Pharmaceuticals",350000,"1998","H4300"
"277","Pharmaceutical Research & Manufacturers of America","Partnership to Fight Chronic Disease",205000,"2010","H4300"
"278","Pharmaceutical Research & Manufacturers of America","Partnership to Fight Chronic Disease",180000,"2011","H4300"
"279","Pharmaceutical Research & Manufacturers of America","We Work for Health",585000,"2014","H4300"
"280","Wyeth","Wyeth",380000,"2000","H4300"
"281","Wyeth","Wyeth",3100000,"2003","H4300"
"282","Johnson & Johnson","Independence Technology Inc",20000,"2003","H4100"
"283","Johnson & Johnson","LifeScan Inc",220000,"2006","H4100"
"284","Johnson & Johnson","McNeil Consumer Healthcare",135000,"2016","H4100"
"285","DuPont Co","DuPont Pharmaceuticals",4e+05,"1999","H4300"
"286","Pharmaceutical Research & Manufacturers of America","Partnership to Fight Chronic Disease",130000,"2014","H4300"
"287","Pharmaceutical Research & Manufacturers of America","Partnership to Fight Chronic Disease",125000,"2015","H4300"
"288","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",11280000,"2001","H4300"
"289","Baxter International","Baxter Healthcare",3431000,"2010","H4100"
"290","Baxter International","Baxter Healthcare",2407000,"2011","H4100"
"291","Invacare Corp","Invacare Corp",140000,"2001","H4100"
"292","Invacare Corp","Invacare Corp",976000,"2008","H4100"
"293","Tyco International","Tyco Healthcare",40000,"2006","H4000"
"294","Tyco International","US Surgical Corp",90000,"2000","H4100"
"295","Ivax Corp","Ivax Corp",220000,"2001","H4300"
"296","Johnson & Johnson","Johnson & Johnson",6080000,"2008","H4000"
"297","Johnson & Johnson","LifeScan Inc",260000,"2005","H4100"
"298","Johnson & Johnson","McNeil Consumer Healthcare",160000,"2008","H4100"
"299","Johnson & Johnson","McNeil Consumer Healthcare",120000,"2015","H4100"
"300","Pharmaceutical Research & Manufacturers of America","Partnership to Fight Chronic Disease",67500,"2016","H4300"
"301","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",18410000,"2012","H4300"
"302","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",18320000,"2015","H4300"
"303","Baxter International","Baxter Healthcare",2200000,"2001","H4100"
"304","Tyco International","Mallinckrodt Inc",80000,"1999","H4100"
"305","Baxter International","Baxter Healthcare",2160000,"2007","H4100"
"306","Baxter International","Baxter Healthcare",3181000,"2013","H4100"
"307","Baxter International","Baxter International",190000,"2014","H4100"
"308","Tyco International","Mallinckrodt Inc",60000,"2000","H4100"
"309","Tyco International","Mallinckrodt Inc",120000,"2003","H4100"
"310","Tyco International","US Surgical Corp",116000,"1999","H4100"
"311","Ivax Corp","Ivax Corp",4e+05,"2003","H4300"
"312","Invacare Corp","Invacare Corp",160000,"2002","H4100"
"313","Invacare Corp","Invacare Corp",180000,"2003","H4100"
"314","Invacare Corp","Invacare Corp",960000,"2012","H4100"
"315","Invacare Corp","Invacare Corp",798434,"2013","H4100"
"316","Bayer Corp","Bayer Corp",1336775,"2000","H4300"
"317","Bayer Corp","Bayer Corp",1581767,"2002","H4300"
"318","Bayer Corp","Bayer Corp",1520000,"2003","H4300"
"319","Invacare Corp","Invacare Corp",630000,"2005","H4100"
"320","Zeneca Inc","Zeneca Pharmaceuticals Group",36000,"1998","H4300"
"321","Pharmaceutical Research & Manufacturers of America","We Work for Health",660000,"2012","H4300"
"322","Pharmaceutical Research & Manufacturers of America","We Work for Health",666380,"2013","H4300"
"323","Tyco International","Tyco International",1880000,"2004","H4100"
"324","Abbott Laboratories","Abbott Laboratories",1470000,"2016","H4300"
"325","Johnson & Johnson","Johnson & Johnson",4780000,"2004","H4000"
"326","Johnson & Johnson","Johnson & Johnson",5380000,"2006","H4000"
"327","Johnson & Johnson","Johnson & Johnson",7700000,"2007","H4000"
"328","Johnson & Johnson","LifeScan Inc",295000,"2008","H4100"
"329","Amgen Inc","Amgen Inc",10220000,"2006","H4300"
"330","Baxter International","Baxter Healthcare",1860000,"2005","H4100"
"331","Baxter International","Baxter International",80000,"2000","H4100"
"332","Tyco International","Mallinckrodt Inc",120000,"2001","H4100"
"333","DuPont Co","DuPont Pharmaceuticals",230000,"2000","H4300"
"334","Tyco International","Tyco International",1100000,"2005","H4100"
"335","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",13480000,"2005","H4300"
"336","AstraZeneca Pharmaceuticals","AstraZeneca Pharmaceuticals",1080000,"2004","H4300"
"337","Baxter International","Baxter Healthcare",2590000,"2012","H4100"
"338","AstraZeneca Pharmaceuticals","AstraZeneca Pharmaceuticals",2840000,"2006","H4300"
"339","Bayer Corp","Bayer Corp",480000,"1998","H4300"
"340","Ivax Corp","Ivax Corp",240000,"2005","H4300"
"341","AdvaMed","AdvaMed",1482048,"2010","H4100"
"342","AdvaMed","AdvaMed",1499237,"2011","H4100"
"343","Cardinal Health","Cardinal Health",1e+05,"2000","H4400"
"344","Abbott Laboratories","Abbott Diabetes Care",0,"2008","H4100"
"345","Johnson & Johnson","McNeil Consumer Healthcare",180000,"2010","H4100"
"346","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",5020000,"1999","H4300"
"347","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",15520000,"2004","H4300"
"348","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",22733400,"2007","H4300"
"349","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",21740000,"2010","H4300"
"350","Pharmaceutical Research & Manufacturers of America","Pharmaceutical Research & Manufacturers of America",14630000,"2016","H4300"
"351","AstraZeneca Pharmaceuticals","AstraZeneca Pharmaceuticals",580000,"2001","H4300"
"352","Bayer Corp","Bayer Corp",1418125,"2001","H4300"
"353","Baxter International","Baxter Healthcare",2820000,"2014","H4100"
"354","Baxter International","Baxter International",170000,"2013","H4100"
"355","Invacare Corp","Invacare Corp",573790,"2014","H4100"
"356","Invacare Corp","Invacare Corp",575511,"2015","H4100"
"357","Abbott Laboratories","Abbott Diabetes Care",0,"2005","H4100"
"358","Abbott Laboratories","Abbott Laboratories",4290000,"2011","H4300"
"359","Amgen Inc","Amgen Inc",4960000,"2004","H4300"
"360","Amgen Inc","Amgen Inc",1e+07,"2011","H4300"
"361","Amgen Inc","Amgen Inc",7580000,"2016","H4300"
"362","Pharmaceutical Research & Manufacturers of America","We Work for Health",475000,"2015","H4300"
"363","Pharmaceutical Research & Manufacturers of America","We Work for Health & Prtnshp Fight Chronic Disease",4e+05,"2009","H4300"
"364","AdvaMed","AdvaMed",2920000,"1999","H4100"
"365","AdvaMed","AdvaMed",3468189,"2006","H4100"
"366","AdvaMed","AdvaMed",3109889,"2007","H4100"
"367","AmerisourceBergen Corp","AmerisourceBergen Corp",1290000,"2012","H4400"
"368","AmerisourceBergen Corp","PharMerica Corp",70000,"2006","H4300"
"369","Baxter International","Baxter Healthcare",2480000,"2000","H4100"
"370","Baxter International","Baxter Healthcare",1882209,"2002","H4100"
"371","Baxter International","Baxter Healthcare",2100000,"2003","H4100"
"372","Baxter International","Baxter Healthcare",2240000,"2015","H4100"
"373","Baxter International","Baxter International",340000,"1999","H4100"
"374","Invacare Corp","Invacare Corp",970000,"2010","H4100"
"375","AstraZeneca Pharmaceuticals","AstraZeneca Pharmaceuticals",640000,"2000","H4300"
"376","Bayer Corp","Bayer Corp",2920000,"2005","H4300"
"377","Baxter International","Baxter Healthcare",2020000,"2004","H4100"
"378","Baxter International","Baxter Healthcare",4050000,"2009","H4100"
"379","Ivax Corp","Ivax Corp",80000,"2000","H4300"
"380","Ivax Corp","Ivax Corp",280000,"2002","H4300"
"381","Tyco International","Tyco International",1400000,"2003","H4100"
"382","AdvaMed","AdvaMed",2520000,"2016","H4100"
"383","AmerisourceBergen Corp","AmerisourceBergen Corp",987750,"2007","H4400"
"384","AmerisourceBergen Corp","AmerisourceBergen Corp",1490000,"2013","H4400"
