level5_code,level5,kegg,level1_code,level1,level2_code,level2,level3_code,level3,level4_code,level4
A01AB02,Hydrogen peroxide,D00008  Hydrogen peroxide (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB03,Chlorhexidine [DG:DG00001],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB03,Chlorhexidine [DG:DG00001],D07668  Chlorhexidine (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB03,Chlorhexidine [DG:DG00001],D00858  Chlorhexidine gluconate (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB03,Chlorhexidine [DG:DG00001],D01345  Chlorhexidine hydrochloride (JP17/USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB03,Chlorhexidine [DG:DG00001],D03463  Chlorhexidine phosphanilate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB03,Chlorhexidine [DG:DG00001],D07669  Chlorhexidine acetate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB04,Amphotericin B,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB04,Amphotericin B,D00203  Amphotericin B (JP17/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB05,Polynoxylin,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB05,Polynoxylin,D07067  Polynoxylin (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB06,Domiphen,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB06,Domiphen,D01588  Domiphen bromide (JAN/USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB07,Oxyquinoline [DG:DG00002],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB07,Oxyquinoline [DG:DG00002],D05321  Oxyquinoline (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB07,Oxyquinoline [DG:DG00002],D02414  Oxyquinoline sulfate (NF),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB08,Neomycin [DG:DG00003],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB08,Neomycin [DG:DG00003],D08260  Neomycin (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB08,Neomycin [DG:DG00003],D01618  Neomycin sulfate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB08,Neomycin [DG:DG00003],D05141  Neomycin palmitate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB08,Neomycin [DG:DG00003],D05142  Neomycin undecylenate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB09,Miconazole [DG:DG00004],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB09,Miconazole [DG:DG00004],D00416  Miconazole (JP17/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB09,Miconazole [DG:DG00004],D00882  Miconazole nitrate (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB10,Natamycin,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB10,Natamycin,D00884  Natamycin (USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB11,Various,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB12,Hexetidine,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB12,Hexetidine,D07068  Hexetidine (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB13,Tetracycline [DG:DG00005],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB13,Tetracycline [DG:DG00005],D00201  Tetracycline (JAN/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB13,Tetracycline [DG:DG00005],D02122  Tetracycline hydrochloride (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB13,Tetracycline [DG:DG00005],D06098  Tetracycline metaphosphate (JAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB14,Benzoxonium chloride,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB14,Benzoxonium chloride,D07069  Benzoxonium chloride (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB15,Tibezonium iodide,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB15,Tibezonium iodide,D02712  Tibezonium iodide (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB16,Mepartricin,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB16,Mepartricin,D04921  Mepartricin (USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB17,Metronidazole [DG:DG00006],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB17,Metronidazole [DG:DG00006],D00409  Metronidazole (JP17/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB17,Metronidazole [DG:DG00006],D05016  Metronidazole hydrochloride (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB17,Metronidazole [DG:DG00006],D05017  Metronidazole phosphate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB17,Metronidazole [DG:DG00006],D08214  Metronidazole benzoate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB18,Clotrimazole,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB18,Clotrimazole,D00282  Clotrimazole (JP17/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB19,Sodium perborate,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB19,Sodium perborate,D07066  Sodium perborate monohydrate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB21,Chlortetracycline [DG:DG00007],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB21,Chlortetracycline [DG:DG00007],D07689  Chlortetracycline (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB21,Chlortetracycline [DG:DG00007],D02255  Chlortetracycline hydrochloride (JAN/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB21,Chlortetracycline [DG:DG00007],D03477  Chlortetracycline bisulfate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB22,Doxycycline [DG:DG00008],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB22,Doxycycline [DG:DG00008],D07876  Doxycycline (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB22,Doxycycline [DG:DG00008],D00307  Doxycycline (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB22,Doxycycline [DG:DG00008],D02129  Doxycycline hyclate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB22,Doxycycline [DG:DG00008],D03903  Doxycycline calcium (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB22,Doxycycline [DG:DG00008],D03904  Doxycycline fosfatex (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB22,Doxycycline [DG:DG00008],D07877  Doxycycline hydrochloride,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB23,Minocycline [DG:DG00009],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB23,Minocycline [DG:DG00009],D05045  Minocycline (USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AB23,Minocycline [DG:DG00009],D00850  Minocycline hydrochloride (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment
A01AC01,Triamcinolone [DG:DG00010],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC01,Triamcinolone [DG:DG00010],D00385  Triamcinolone (JP17/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC01,Triamcinolone [DG:DG00010],D00983  Triamcinolone acetonide (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC01,Triamcinolone [DG:DG00010],D00984  Triamcinolone diacetate (JAN/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC01,Triamcinolone [DG:DG00010],D00985  Triamcinolone hexacetonide (USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC01,Triamcinolone [DG:DG00010],D06216  Triamcinolone acetonide sodium phosphate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07799  Dexamethasone 21-tebutate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07800  Dexamethasone 21-valerate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07801  Dexamethasone phenylpropionate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07802  Dexamethasone phosphate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D00292  Dexamethasone (JP17/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D00975  Dexamethasone sodium phosphate (JAN/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D01510  Dexamethasone metasulfobenzoate sodium (JAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D01615  Dexamethasone palmitate (JAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D01632  Dexamethasone dipropionate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D01948  Dexamethasone valerate (JAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D02174  Dexamethasone acetate (JAN/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D02591  Dexamethasone acefurate (USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D02592  Dexamethasone beloxil (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07073  Dexamethasone cipecilate (JAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07796  Dexamethasone 21-acetate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07797  Dexamethasone isonicotinate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC02,Dexamethasone [DG:DG00011],D07798  Dexamethasone sodium hemisulfate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D00088  Hydrocortisone (JP17/USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D00165  Hydrocortisone acetate (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D00976  Hydrocortisone cypionate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D00977  Hydrocortisone sodium phosphate (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D00978  Hydrocortisone sodium succinate (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D01442  Hydrocortisone succinate (JP17),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D01619  Hydrocortisone butyrate (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D01886  Hydrocortisone probutate (USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D02288  Hydrocortisone valerate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D04467  Hydrocortisone hemisuccinate (USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D06876  Hydrocortisone aceponate (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC03,Hydrocortisone [DG:DG00012],D09796  Hydrocortisone caproate (JAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AC54,"Prednisolone, combinations",NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment
A01AD01,Epinephrine [DG:DG00013],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD01,Epinephrine [DG:DG00013],D00095  Epinephrine (USP/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD01,Epinephrine [DG:DG00013],D00996  Epinephrine hydrochloride (JAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD01,Epinephrine [DG:DG00013],D02149  Epinephrine bitartrate (JAN/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD02,Benzydamine [DG:DG00014],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD02,Benzydamine [DG:DG00014],D07516  Benzydamine (INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD02,Benzydamine [DG:DG00014],D01410  Benzydamine hydrochloride (JAN/USAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD02,Benzydamine [DG:DG00014],D07517  Benzydamine salicylate,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD05,Acetylsalicylic acid [DG:DG00015],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD05,Acetylsalicylic acid [DG:DG00015],D00109  Aspirin (JP17/USP),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD05,Acetylsalicylic acid [DG:DG00015],D05181  Aspirin aluminum (JP17),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD05,Acetylsalicylic acid [DG:DG00015],D07579  Aspirin calcium salt,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD05,Acetylsalicylic acid [DG:DG00015],D07580  Aspirin DL-lysine (JAN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD05,Acetylsalicylic acid [DG:DG00015],D07581  Aspirin magnesium salt,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD05,Acetylsalicylic acid [DG:DG00015],D07582  Aspirin sodium,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD06,Adrenalone [DG:DG00016],NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD06,Adrenalone [DG:DG00016],D02774  Adrenalone (USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD06,Adrenalone [DG:DG00016],D07560  Adrenalone hydrochloride,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD07,Amlexanox,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD07,Amlexanox,D01828  Amlexanox (JP17/USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD08,Becaplermin,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD08,Becaplermin,D03065  Becaplermin (USAN/INN),A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A01AD11,Various,NA,A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment
A02AA01,Magnesium carbonate,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA01,Magnesium carbonate,D01446  Magnesium carbonate (JP17/USP),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA02,Magnesium oxide,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA02,Magnesium oxide,D01167  Magnesium oxide (JP17/USP),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA03,Magnesium peroxide,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA03,Magnesium peroxide,C17732  Magnesium peroxide,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA04,Magnesium hydroxide,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA04,Magnesium hydroxide,D00731  Magnesium hydroxide (JAN/USP),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA05,Magnesium silicate,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA05,Magnesium silicate,D03271  Magnesium trisilicate (USP),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA05,Magnesium silicate,D04839  Magnesium silicate (JP17/NF),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AA10,Combinations,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds
A02AB01,Aluminium hydroxide,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds
A02AB01,Aluminium hydroxide,D02416  Aluminum hydroxide (USP),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds
A02AB02,Algeldrate,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds
A02AB02,Algeldrate,D02807  Algeldrate (USAN/INN),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds
A02AB03,Aluminium phosphate,NA,A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds
A02AB03,Aluminium phosphate,D02862  Aluminum phosphate (USP),A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds
