hcpcs_code,hcpcs_description,year,claim_count,total_spending,beneficiary_count,total_annual_spending_per_user,unit_count,average_cost_per_unit,average_beneficiary_cost_share,annual_change_in_average_cost_per_unit
90657,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2011,7747.0,129372.09,7677.0,16.851906995,7750.0,16.693172903,0.0,NA
90657,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2012,5490.0,76819.04,5462.0,14.064269498,5492.0,13.987443554,0.0,NA
90657,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2013,4834.0,67173.25,4829.0,13.910385173,4837.0,13.88737854,0.0,NA
90657,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2014,4331.0,72321.98,4295.0,16.838644936,4332.0,16.694824561,0.0,NA
90657,"Vaccine for influenza for injection into muscle, patient 6-35 months of age",2015,2226.0,29625.03,2221.0,13.33859973,2226.0,13.308638814,0.0,NA
90660,Vaccine for influenza for nasal administration,2011,14750.0,395560.96,14701.0,26.90707843,14759.0,26.801338844,0.0,NA
90660,Vaccine for influenza for nasal administration,2012,8299.0,285593.77,8250.0,34.617426667,8300.0,34.408887952,0.0,NA
90660,Vaccine for influenza for nasal administration,2013,6726.0,371353.77,6698.0,55.442485817,6763.0,54.90962147,0.0,NA
90660,Vaccine for influenza for nasal administration,2014,5072.0,355074.12,5038.0,70.479182215,5073.0,69.992927262,0.0,NA
90660,Vaccine for influenza for nasal administration,2015,3515.0,253124.38,3506.0,72.197484313,3534.0,71.625461234,0.0,NA
90661,Vaccine for influenza for injection into muscle,2011,NA,NA,NA,NA,NA,NA,NA,NA
90661,Vaccine for influenza for injection into muscle,2012,NA,NA,NA,NA,NA,NA,NA,NA
90661,Vaccine for influenza for injection into muscle,2013,75897.0,1251049.37,75890.0,16.485035841,75906.0,16.48156101,7.668995e-4,NA
90661,Vaccine for influenza for injection into muscle,2014,200631.0,3831683.1,200206.0,19.138702636,200642.0,19.097113765,3.046362e-4,NA
90661,Vaccine for influenza for injection into muscle,2015,153129.0,3121057.98,152543.0,20.460184866,153161.0,20.377628639,6.00552e-4,0.067052796
90662,Vaccine for influenza for injection into muscle,2011,1664649.0,49154910.961,1659199.0,29.625687432,1664722.0,29.527399146,0.0,NA
90662,Vaccine for influenza for injection into muscle,2012,2589038.0,78061236.314,2580193.0,30.254029956,2589594.0,30.144198787,0.0,NA
90662,Vaccine for influenza for injection into muscle,2013,3795258.0,115179447.8,3742502.0,30.77605511,3795322.5,30.347736668,0.0,NA
90662,Vaccine for influenza for injection into muscle,2014,5541949.0,174771572.16,5485e3,31.863550075,5553074.1,31.472940756,0.0,NA
90662,Vaccine for influenza for injection into muscle,2015,7231920.0,249624573.53,7193104.0,34.703317723,7232081.7,34.516282294,0.0,0.0966970822
90669,Pneumococcal vaccine for injection into muscle,2011,1730.0,130405.38,1690.0,77.162946746,1730.0,75.37883237,0.0,NA
90669,Pneumococcal vaccine for injection into muscle,2012,2673.0,209250.37,2653.0,78.873113456,2673.5,78.268326164,0.0,NA
90669,Pneumococcal vaccine for injection into muscle,2013,2768.0,219038.3,2760.0,79.361702899,2768.0,79.132333815,0.0,NA
90669,Pneumococcal vaccine for injection into muscle,2014,3190.0,225543.95,3181.0,70.90347375,3192.0,70.659132206,0.0,NA
90669,Pneumococcal vaccine for injection into muscle,2015,5987.0,421918.42,5961.0,70.779805402,5987.0,70.472426925,0.0,NA
90670,Pneumococcal vaccine for injection into muscle,2011,6331.0,630784.32,5958.0,105.87182276,6333.0,99.602766461,0.0,NA
90670,Pneumococcal vaccine for injection into muscle,2012,44373.0,5846813.25,43526.0,134.32921128,44402.0,131.67905162,0.0,NA
90670,Pneumococcal vaccine for injection into muscle,2013,140770.0,19138940.59,138586.0,138.1015441,140948.0,135.78724487,0.0,NA
90670,Pneumococcal vaccine for injection into muscle,2014,725843.0,104295423.59,721707.0,144.51214078,726030.5,143.6515733,0.0,NA
90670,Pneumococcal vaccine for injection into muscle,2015,5748219.0,914629739.39,5698568.0,160.50168032,5759895.1,158.79277721,0.0,0.1054022839
90672,Vaccine for influenza for nasal administration,2011,NA,NA,NA,NA,NA,NA,NA,NA
90672,Vaccine for influenza for nasal administration,2012,NA,NA,NA,NA,NA,NA,NA,NA
90672,Vaccine for influenza for nasal administration,2013,2135.0,43292.16,2133.0,20.296371308,2135.0,20.277358314,0.0,NA
90672,Vaccine for influenza for nasal administration,2014,3064.0,66367.24,3054.0,21.731250819,3064.0,21.660326371,0.0,NA
90672,Vaccine for influenza for nasal administration,2015,2227.0,54580.61,2218.0,24.608029757,2227.0,24.508581051,0.0973985573,NA
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",2011,NA,NA,NA,NA,NA,NA,NA,NA
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",2012,NA,NA,NA,NA,NA,NA,NA,NA
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",2013,NA,NA,NA,NA,NA,NA,NA,NA
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",2014,10395.0,285819.25,10313.0,27.714462329,20503.0,13.940362386,0.21770096,NA
90673,"Vaccine for influenza administered into muscle, preservative and antibiotic fre",2015,10381.0,317916.23,10339.0,30.749224296,11398.0,27.892281979,0.010068672,1.0008290464
90675,Vaccine for rabies injection into muscle,2011,8616.0,1713783.66,3236.0,529.59940049,9762.0,175.5566134,108.00615266,NA
90675,Vaccine for rabies injection into muscle,2012,9855.0,2218959.73,3685.0,602.16003528,11093.0,200.03242856,122.64224695,NA
90675,Vaccine for rabies injection into muscle,2013,9798.0,2265760.52,3649.0,620.92642368,10856.0,208.71043847,127.81897232,NA
90675,Vaccine for rabies injection into muscle,2014,10680.0,2663747.37,3980.0,669.28325879,11780.0,226.12456452,137.63068844,NA
90675,Vaccine for rabies injection into muscle,2015,10633.0,2761409.08,3912.0,705.88166667,11654.0,236.94946628,144.74061605,NA
90685,Vaccine for influenza administered into muscle to children 6-35 months of age,2011,NA,NA,NA,NA,NA,NA,NA,NA
90685,Vaccine for influenza administered into muscle to children 6-35 months of age,2012,NA,NA,NA,NA,NA,NA,NA,NA
90685,Vaccine for influenza administered into muscle to children 6-35 months of age,2013,513.0,13946.16,512.0,27.23859375,513.0,27.185497076,1.875,NA
90685,Vaccine for influenza administered into muscle to children 6-35 months of age,2014,2424.0,42806.89,2418.0,17.703428453,2425.0,17.652325773,0.0042183623,NA
90685,Vaccine for influenza administered into muscle to children 6-35 months of age,2015,1412.0,28260.73,1408.0,20.071541193,1412.0,20.014681303,0.0,NA
90686,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2011,NA,NA,NA,NA,NA,NA,NA,NA
90686,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2012,NA,NA,NA,NA,NA,NA,NA,NA
90686,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2013,524650.0,9244361.0999,524217.0,17.634607615,524675.0,17.619213989,0.0276445823,NA
90686,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2014,1279478.0,21709059.09,1271620.0,17.071970471,1279600.5,16.965497505,0.0091613532,NA
90686,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2015,1693713.0,28931387.881,1680506.0,17.215878956,1694031.0,17.078428837,0.0197753415,0.0066565293
90687,Vaccine for influenza administered into muscle to children 6-35 months of age,2011,NA,NA,NA,NA,NA,NA,NA,NA
90687,Vaccine for influenza administered into muscle to children 6-35 months of age,2012,NA,NA,NA,NA,NA,NA,NA,NA
90687,Vaccine for influenza administered into muscle to children 6-35 months of age,2013,NA,NA,NA,NA,NA,NA,NA,NA
90687,Vaccine for influenza administered into muscle to children 6-35 months of age,2014,166.0,1880.35,166.0,11.327409639,166.0,11.327409639,0.0,NA
90687,Vaccine for influenza administered into muscle to children 6-35 months of age,2015,451.0,5496.89,450.0,12.215311111,451.0,12.188226164,0.0238444444,NA
90688,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2011,NA,NA,NA,NA,NA,NA,NA,NA
90688,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2012,NA,NA,NA,NA,NA,NA,NA,NA
90688,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2013,32523.0,534295.38,32520.0,16.429747232,32524.0,16.427726602,0.0,NA
90688,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2014,591283.0,9514252.56,589643.0,16.135615211,591308.0,16.090180684,0.0044554078,NA
90688,Vaccine for influenza administered into muscle to individuals 3 years of age and older,2015,849783.0,14630542.26,845261.0,17.308904895,849813.0,17.216190221,6.000513e-4,0.0699811617
90691,Vaccine for typhoid for injection into muscle,2011,152.0,9144.31,152.0,60.159934211,153.0,59.766732026,19.812171053,NA
90691,Vaccine for typhoid for injection into muscle,2012,166.0,10315.52,166.0,62.141686747,166.0,62.141686747,21.090542169,NA
90691,Vaccine for typhoid for injection into muscle,2013,197.0,12254.0,197.0,62.203045685,197.0,62.203045685,24.356243655,NA
90691,Vaccine for typhoid for injection into muscle,2014,157.0,10306.01,157.0,65.643375796,157.0,65.643375796,22.450382166,NA
90691,Vaccine for typhoid for injection into muscle,2015,256.0,19253.18,256.0,75.207734375,256.0,75.207734375,26.313554687,NA
90703,Tetanus toxoid injection into muscle,2011,32251.0,890770.3,32157.0,27.700665485,32252.5,27.618643516,7.5602674379,NA
90703,Tetanus toxoid injection into muscle,2012,30826.0,955471.91,30735.0,31.087421832,30832.0,30.989618254,8.1849191475,NA
90703,Tetanus toxoid injection into muscle,2013,29062.0,992778.46,28976.0,34.262094837,29066.7,34.155183079,9.4672484125,NA
90703,Tetanus toxoid injection into muscle,2014,26029.0,963833.41,25962.0,37.124775056,26031.5,37.025657761,9.7707857638,NA
90703,Tetanus toxoid injection into muscle,2015,17800.0,685561.23,17726.0,38.675461469,17800.0,38.514675843,10.193495995,0.0402158441
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",2011,28275.0,540459.33,28226.0,19.14757068,28278.0,19.112360492,5.6004194714,NA
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",2012,25602.0,498793.82,25572.0,19.505467699,25610.0,19.476525576,5.3201024558,NA
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",2013,54777.0,1065632.03,54648.0,19.499927353,54785.0,19.451164187,5.3256823672,NA
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",2014,57211.0,1181302.11,57093.0,20.690839683,57211.0,20.648163989,5.4602026518,NA
90714,"Vaccine for tetanus and diphtheria toxoids injection into muscle, patient 7 years or older",2015,69348.0,1380852.31,69224.0,19.947594909,69348.5,19.911783384,5.2046394314,-0.035663249
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",2011,8755.0,389409.18,8694.0,44.790565908,8756.0,44.473410233,11.89457902,NA
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",2012,29337.0,1115110.37,29289.0,38.072667896,29341.0,38.005193075,9.4036262761,NA
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",2013,40599.0,1380731.52,40521.0,34.074468054,40603.5,34.005234032,10.858771748,NA
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",2014,43988.0,1473666.32,43905.0,33.564886004,43994.0,33.496984134,8.8380612686,NA
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",2015,65811.0,2089151.72,65673.0,31.811425091,65818.0,31.741343098,8.3034300245,-0.052411914
90718,"Tetanus and diphtheria toxoids (td) adsorbed when administered to individuals 7 years or older, for intramuscular use",2011,67758.0,1464288.0,67555.0,21.675494042,67766.5,21.607844584,6.1064544445,NA
90718,"Tetanus and diphtheria toxoids (td) adsorbed when administered to individuals 7 years or older, for intramuscular use",2012,60407.0,1106329.37,60256.0,18.360484765,60410.5,18.313527781,5.0389856612,NA
90718,"Tetanus and diphtheria toxoids (td) adsorbed when administered to individuals 7 years or older, for intramuscular use",2013,NA,NA,NA,NA,NA,NA,NA,NA
90718,"Tetanus and diphtheria toxoids (td) adsorbed when administered to individuals 7 years or older, for intramuscular use",2014,NA,NA,NA,NA,NA,NA,NA,NA
90718,"Tetanus and diphtheria toxoids (td) adsorbed when administered to individuals 7 years or older, for intramuscular use",2015,NA,NA,NA,NA,NA,NA,NA,NA
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",2011,1842184.0,93144600.941,1820534.0,51.163340504,1842871.1,50.54319911,0.0,NA
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",2012,1969940.0,114682259.4,1946322.0,58.922552074,1970767.5,58.19167375,0.0,NA
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",2013,2005955.0,127874209.05,1981788.0,64.524666137,2007624.5,63.694285985,0.0,NA
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",2014,1969700.0,134658195.49,1947371.0,69.148711515,1980369.0,67.996517564,0.0,NA
90732,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",2015,1217824.0,88628388.5,1203522.0,73.640854508,1238205.0,71.578121958,0.0,0.0526733504
90733,Vaccine for meningococcus for injection beneath skin,2011,864.0,91925.56,844.0,108.91654028,866.0,106.14960739,22.374940758,NA
90733,Vaccine for meningococcus for injection beneath skin,2012,894.0,99613.61,877.0,113.58450399,896.0,111.17590402,23.130285063,NA
90733,Vaccine for meningococcus for injection beneath skin,2013,1155.0,121423.82,1128.0,107.6452305,1155.0,105.12884848,22.282367021,NA
90733,Vaccine for meningococcus for injection beneath skin,2014,1337.0,140324.21,1235.0,113.62284211,1339.0,104.79776699,23.52,NA
90733,Vaccine for meningococcus for injection beneath skin,2015,923.0,96734.89,873.0,110.80743414,923.0,104.80486457,23.312485682,NA
90735,Vaccine for Japanese encephalitis virus injection beneath skin,2011,17.0,1820.16,15.0,121.344,18.0,101.12,31.223333333,NA
90735,Vaccine for Japanese encephalitis virus injection beneath skin,2012,33.0,3329.95,29.0,114.82586207,34.0,97.939705882,22.965172414,NA
90735,Vaccine for Japanese encephalitis virus injection beneath skin,2013,39.0,3930.59,33.0,119.10878788,39.0,100.78435897,29.866969697,NA
90735,Vaccine for Japanese encephalitis virus injection beneath skin,2014,34.0,3587.77,29.0,123.7162069,35.0,102.50771429,28.012068966,NA
90735,Vaccine for Japanese encephalitis virus injection beneath skin,2015,30.0,3213.3,25.0,128.532,31.0,103.65483871,27.7436,NA
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2011,97964.0,11972061.23,46119.0,259.59065092,99361.0,120.49054689,0.0173403586,NA
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2012,100064.0,12246997.05,45386.0,269.84085511,101131.0,121.10032581,0.0,NA
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2013,97413.0,11913102.88,43215.0,275.67055143,98562.0,120.86912684,0.0,NA
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2014,101847.0,12362446.31,45645.0,270.8390034,103489.0,119.45662157,0.0,NA
90740,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2015,114721.0,13847434.2,50309.0,275.2476535,116085.0,119.28702416,0.0,-0.001419741
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient",2011,310.0,15872.66,244.0,65.051885246,506.0,31.368893281,0.1389344262,NA
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient",2012,326.0,12663.19,287.0,44.12261324,336.0,37.688065476,0.0,NA
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient",2013,392.0,16487.32,326.0,50.574601227,403.0,40.91146402,0.0,NA
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient",2014,466.0,14845.11,390.0,38.064384615,469.0,31.652686567,0.0,NA
90743,"Vaccine for Hepatitis B (2 dose schedule) for injection into muscle, adolescent patient",2015,464.0,13442.94,406.0,33.110689655,466.0,28.84751073,0.0,NA
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients",2011,1156.0,66938.07,953.0,70.239317943,1467.0,45.629222904,0.0,NA
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients",2012,1144.0,71366.01,923.0,77.319620802,1436.0,49.697778552,0.0,NA
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients",2013,1438.0,79874.72,1091.0,73.212392301,1743.0,45.826001147,0.0,NA
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients",2014,1320.0,71111.9,1041.0,68.311143132,1731.0,41.081398036,0.0,NA
90744,"Vaccine for Hepatitis B (3 dose schedule) for injection into muscle, pediatric and adolescent patients",2015,1273.0,74891.96,984.0,76.109715447,1617.0,46.31537415,0.0,NA
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,2011,62511.0,3740608.13,40762.0,91.767041117,64619.0,57.887124994,0.100685197,NA
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,2012,80215.0,4808189.18,51664.0,93.066529498,83105.0,57.856797786,0.0,NA
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,2013,94609.0,5583355.16,60131.0,92.853189869,98465.0,56.703957345,0.0,NA
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,2014,95571.0,5419929.76,61655.0,87.907383991,97101.0,55.81744534,0.0,NA
90746,Vaccine for Hepatitis B adult dosage (3 dose schedule) injection into muscle,2015,96573.0,5547571.15,62626.0,88.582555967,97785.0,56.732332669,0.0,0.0163907059
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2011,142635.0,17671170.46,62862.0,281.11053514,148277.0,119.17674663,3.181572e-4,NA
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2012,150502.0,18510633.74,65539.0,282.43692672,158811.0,116.55762976,0.0,NA
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2013,139141.0,17134457.3,62588.0,273.76585448,144081.0,118.92239296,0.0,NA
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2014,129872.0,15771756.67,60724.0,259.72855329,133656.0,118.00260871,0.0,NA
90747,"Vaccine for Hepatitis B (4 dose schedule) for injection into muscle, dialysis or immunosuppressed patient",2015,124077.0,14956739.29,57661.0,259.39091049,127523.0,117.28660155,0.0,-0.006067723
A9575,"Injection, gadoterate meglumine, 0.1 ml",2011,NA,NA,NA,NA,NA,NA,NA,NA
A9575,"Injection, gadoterate meglumine, 0.1 ml",2012,NA,NA,NA,NA,NA,NA,NA,NA
A9575,"Injection, gadoterate meglumine, 0.1 ml",2013,NA,NA,NA,NA,NA,NA,NA,NA
A9575,"Injection, gadoterate meglumine, 0.1 ml",2014,2739.0,188695.18,2523.0,74.790003964,429030.0,0.4398181479,15.626963932,NA
A9575,"Injection, gadoterate meglumine, 0.1 ml",2015,14413.0,359238.43,13518.0,26.574820979,1785417.0,0.2012070177,5.6213929575,NA
A9576,"Injection, gadoteridol, (prohance multipack), per ml",2011,12373.0,385765.89,11258.0,34.265934447,194627.5,1.9820728828,7.4954565642,NA
A9576,"Injection, gadoteridol, (prohance multipack), per ml",2012,12278.0,359663.44,11405.0,31.535593161,193689.5,1.8569072665,6.7668715476,NA
A9576,"Injection, gadoteridol, (prohance multipack), per ml",2013,12594.0,376036.51,11600.0,32.416940517,200443.9,1.8760187264,6.7889198276,NA
A9576,"Injection, gadoteridol, (prohance multipack), per ml",2014,12033.0,346056.01,11089.0,31.207143115,191175.5,1.8101483192,6.5355207864,NA
