A,B,C,D,E,F
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB07 Oxyquinoline [DG:DG00002],D05321  Oxyquinoline (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB07 Oxyquinoline [DG:DG00002],D02414  Oxyquinoline sulfate (NF)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB08 Neomycin [DG:DG00003],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB08 Neomycin [DG:DG00003],D08260  Neomycin (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB08 Neomycin [DG:DG00003],D01618  Neomycin sulfate (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB08 Neomycin [DG:DG00003],D05141  Neomycin palmitate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB08 Neomycin [DG:DG00003],D05142  Neomycin undecylenate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB09 Miconazole [DG:DG00004],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB09 Miconazole [DG:DG00004],D00416  Miconazole (JP17/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB09 Miconazole [DG:DG00004],D00882  Miconazole nitrate (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB10 Natamycin,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB10 Natamycin,D00884  Natamycin (USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB11 Various,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB12 Hexetidine,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB12 Hexetidine,D07068  Hexetidine (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB13 Tetracycline [DG:DG00005],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB13 Tetracycline [DG:DG00005],D00201  Tetracycline (JAN/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB13 Tetracycline [DG:DG00005],D02122  Tetracycline hydrochloride (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB13 Tetracycline [DG:DG00005],D06098  Tetracycline metaphosphate (JAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB14 Benzoxonium chloride,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB14 Benzoxonium chloride,D07069  Benzoxonium chloride (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB15 Tibezonium iodide,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB15 Tibezonium iodide,D02712  Tibezonium iodide (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB16 Mepartricin,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB16 Mepartricin,D04921  Mepartricin (USAN/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB17 Metronidazole [DG:DG00006],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB17 Metronidazole [DG:DG00006],D00409  Metronidazole (JP17/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB17 Metronidazole [DG:DG00006],D05016  Metronidazole hydrochloride (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB17 Metronidazole [DG:DG00006],D05017  Metronidazole phosphate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB17 Metronidazole [DG:DG00006],D08214  Metronidazole benzoate (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB18 Clotrimazole,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB18 Clotrimazole,D00282  Clotrimazole (JP17/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB19 Sodium perborate,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB19 Sodium perborate,D07066  Sodium perborate monohydrate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB21 Chlortetracycline [DG:DG00007],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB21 Chlortetracycline [DG:DG00007],D07689  Chlortetracycline (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB21 Chlortetracycline [DG:DG00007],D02255  Chlortetracycline hydrochloride (JAN/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB21 Chlortetracycline [DG:DG00007],D03477  Chlortetracycline bisulfate (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB22 Doxycycline [DG:DG00008],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB22 Doxycycline [DG:DG00008],D07876  Doxycycline (INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB22 Doxycycline [DG:DG00008],D00307  Doxycycline (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB22 Doxycycline [DG:DG00008],D02129  Doxycycline hyclate (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB22 Doxycycline [DG:DG00008],D03903  Doxycycline calcium (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB22 Doxycycline [DG:DG00008],D03904  Doxycycline fosfatex (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB22 Doxycycline [DG:DG00008],D07877  Doxycycline hydrochloride
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB23 Minocycline [DG:DG00009],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB23 Minocycline [DG:DG00009],D05045  Minocycline (USAN/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AB Antiinfectives and antiseptics for local oral treatment,A01AB23 Minocycline [DG:DG00009],D00850  Minocycline hydrochloride (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,,
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC01 Triamcinolone [DG:DG00010],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC01 Triamcinolone [DG:DG00010],D00385  Triamcinolone (JP17/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC01 Triamcinolone [DG:DG00010],D00983  Triamcinolone acetonide (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC01 Triamcinolone [DG:DG00010],D00984  Triamcinolone diacetate (JAN/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC01 Triamcinolone [DG:DG00010],D00985  Triamcinolone hexacetonide (USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC01 Triamcinolone [DG:DG00010],D06216  Triamcinolone acetonide sodium phosphate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D00292  Dexamethasone (JP17/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D00975  Dexamethasone sodium phosphate (JAN/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D01510  Dexamethasone metasulfobenzoate sodium (JAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D01615  Dexamethasone palmitate (JAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D01632  Dexamethasone dipropionate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D01948  Dexamethasone valerate (JAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D02174  Dexamethasone acetate (JAN/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D02591  Dexamethasone acefurate (USAN/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D02592  Dexamethasone beloxil (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07073  Dexamethasone cipecilate (JAN/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07796  Dexamethasone 21-acetate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07797  Dexamethasone isonicotinate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07798  Dexamethasone sodium hemisulfate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07799  Dexamethasone 21-tebutate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07800  Dexamethasone 21-valerate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07801  Dexamethasone phenylpropionate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC02 Dexamethasone [DG:DG00011],D07802  Dexamethasone phosphate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D00088  Hydrocortisone (JP17/USP/INN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D00165  Hydrocortisone acetate (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D00976  Hydrocortisone cypionate
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D00977  Hydrocortisone sodium phosphate (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D00978  Hydrocortisone sodium succinate (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D01442  Hydrocortisone succinate (JP17)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D01619  Hydrocortisone butyrate (JP17/USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D01886  Hydrocortisone probutate (USAN)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D02288  Hydrocortisone valerate (USP)
ALIMENTARY TRACT AND METABOLISM,A01 STOMATOLOGICAL PREPARATIONS,A01A STOMATOLOGICAL PREPARATIONS,A01AC Corticosteroids for local oral treatment,A01AC03 Hydrocortisone [DG:DG00012],D04467  Hydrocortisone hemisuccinate (USP)
