brand_name,generic_name
aminosyn ii,parenteral amino acid 8.5 % #3
amiodarone hcl,amiodarone hcl
amitriptyline-chlordiazepoxide,amitrip hcl/chlordiazepoxide
amitriptyline hcl,amitriptyline hcl
amlodipine-atorvastatin,amlodipine/atorvastatin
amlodipine-valsartan,amlodipine/valsartan
amlodipine-valsartan-hctz,amlodipine/valsartan/hcthiazid
amlodipine besylate,amlodipine besylate
amlodipine besylate-benazepril,amlodipine besylate/benazepril
ammonium lactate,ammonium lactate
amox tr-potassium clavulanate,amoxicillin/potassium clav
amoxicillin-clavulanate pot er,amoxicillin/potassium clav
amoxicillin-clavulanate potass,amoxicillin/potassium clav
amphetamine salt combo,dextroamphetamine/amphetamine
ampicillin-sulbactam,ampicillin sodium/sulbactam na
ampicillin sodium,ampicillin sodium
ampicillin trihydrate,ampicillin trihydrate
ampyra,dalfampridine
amrix,cyclobenzaprine hcl
amturnide,aliskiren/amlodipin/hcthiazide
ana-lex,hydrocortisone/lidocaine/aloe
anabar,sal-amide/acetaminophn/p-tlox
anafranil,clomipramine hcl
anagrelide hcl,anagrelide hcl
analpram hc,hydrocortisone/pramoxine
anamantle hc,lidocaine/hydrocortisone ac
anaspaz,hyoscyamine sulfate
angeliq,drospirenone/estradiol
animi-3,om-3/dha/epa/d3/b12/fa/b-6/phy
animi-3 with vitamin d,om-3/dha/epa/d3/b12/fa/b-6/phy
anoro ellipta,umeclidinium brm/vilanterol tr
antara,"fenofibrate,micronized"
antipyrine-benzocaine,antipyrine/benzocaine
antivert,meclizine hcl
anzemet,dolasetron mesylate
apexicon e,diflorasone diacetate/emoll
aplenzin,bupropion hbr
apokyn,apomorphine hcl
apraclonidine hcl,apraclonidine hcl
apri,desogestrel-ethinyl estradiol
apriso,mesalamine
aptiom,eslicarbazepine acetate
aralast np,alpha-1-proteinase inhibitor
aralen phosphate,chloroquine phosphate
aranelle,norethindrone-ethinyl estrad
aranesp,darbepoetin alfa in albumn sol
aranesp,darbepoetin alfa in polysorbat
arbinoxa,carbinoxamine maleate
arcapta neohaler,indacaterol maleate
arestin,minocycline hcl microspheres
aricept,donepezil hcl
aricept odt,donepezil hcl
aristospan,triamcinolone hexacetonide
arixtra,fondaparinux sodium
armour thyroid,"thyroid,pork"
arthrotec 50,diclofenac sodium/misoprostol
arthrotec 75,diclofenac sodium/misoprostol
asacol,mesalamine
asacol hd,mesalamine
ascomp with codeine,codeine/butalbital/asa/caffein
ashlyna,l-norgest/e.estradion-e.estrad
asmanex,mometasone furoate
asmanex hfa,mometasone furoate
aspirin-caffeine-dihydrocodein,dihydrocodeine/aspirin/caffein
aspirin-dipyridamole er,aspirin/dipyridamole
assure id insulin safety,"syringe,needle,insuln,safe,1ml"
assure id insulin safety,"syringe,needle,insuln,sf 0.5ml"
astelin,azelastine hcl
astepro,azelastine hcl
astramorph-pf,morphine sulfate/pf
atabex ec,"pnv comb.no43/iron,carb/fa/dss"
atacand,candesartan cilexetil
atacand hct,candesartan/hydrochlorothiazid
atelvia,risedronate sodium
atenolol-chlorthalidone,atenolol/chlorthalidone
atorvastatin calcium,atorvastatin calcium
atovaquone-proguanil hcl,atovaquone/proguanil hcl
atracurium besylate,atracurium besylate
atrapro dermal spray,hypoc acid/sod hypo/nacl/water
atripla,efavirenz/emtricitab/tenofovir
atropine care,atropine sulfate
atropine sulfate,atropine sulfate
atropine sulfate,atropine sulfate/pf
atuss ds,chlorphen/pseudoeph/dm tannate
augmentin,amoxicillin/potassium clav
augmentin xr,amoxicillin/potassium clav
aurax,antipyrine/benzocaine
aurodex,antipyrine/benzocaine
aurodex ear drops,antipyrine/benzocaine
auroguard,antipyrine/benzocaine
autoshield duo pen needle,"pen needle,dual safety,diabetc"
autoshield pen needle,"pen needle, diabetic, safety"
availnex,carbocysteine
avalide,irbesartan/hydrochlorothiazide
avandamet,rosiglitazone/metformin hcl
avandaryl,rosiglitazone/glimepiride
avandia,rosiglitazone maleate
avar,sulfacetamide sodium/sulfur
avar-e,sulfacetamide sodium/sulfur
avar-e ls,sulfacetamide sodium/sulfur
avelox,moxifloxacin hcl
avelox abc pack,moxifloxacin hcl
avelox iv,moxifloxacin in nacl (iso-osm)
aviane,levonorgestrel-ethin estradiol
avinza,morphine sulfate
avonex administration pack,interferon beta-1a/albumin
avycaz,ceftazidime/avibactam
axert,almotriptan malate
axona,"nut.tx, metab.dis, mv & min #2"
aygestin,norethindrone acetate
azactam-iso-osmotic dextrose,aztreonam/dextrose-water
azelastine hcl,azelastine hcl
azilect,rasagiline mesylate
azmacort,triamcinolone acetonide
azor,amlodipine bes/olmesartan med
azurette,desog-e.estradiol/e.estradiol
b-d single use alcohol swab,alcohol antiseptic pads
b-nexa,pnv/fa/b6/calcium phos/ginger
b-plex,"folic acid/vit bcomp,c"
b-plex plus,"multivits,therap w-fe,hematin"
bacitracin-polymyxin,bacitracin/polymyxin b sulfate
bacmin,"multivit, min cmb#20/iron/fa"
bactrim,sulfamethoxazole/trimethoprim
bactrim ds,sulfamethoxazole/trimethoprim
bal-care dha,pnv81/sod iron edta& ps/fa/om3
balsalazide disodium,balsalazide disodium
balziva,norethindrone-ethinyl estrad
band-aid gauze pads,gauze bandage
bcg (tice strain),bcg live
bcg vaccine (tice strain),"bcg vaccine, live/pf"
bd insulin syringe,"syringe and needle,insulin,1ml"
bd insulin syringe micro-fine,"syring w-ndl,disp,insul,0.3 ml"
bd insulin syringe micro-fine,"syring w-ndl,disp,insul,0.5 ml"
bd insulin syringe micro-fine,"syringe and needle,insulin,1ml"
bd insulin syringe ult-fine ii,"syring w-ndl,disp,insul,0.3 ml"
bd insulin syringe ult-fine ii,"syring w-ndl,disp,insul,0.5 ml"
bd insulin syringe ult-fine ii,"syringe and needle,insulin,1ml"
bd insulin syringe ultra-fine,"syring w-ndl,disp,insul,0.3 ml"
bd insulin syringe ultra-fine,"syring w-ndl,disp,insul,0.5 ml"
bd ultra-fine ii,lancets
bd ultra-fine pen needle,"pen needle, diabetic"
be-flex plus,sal-amide/acetaminophn/p-tlox
beconase aq,beclomethasone dipropionate
belladonna-opium,opium/belladonna alkaloids
belsomra,suvorexant
belviq,lorcaserin hcl
benazepril-hydrochlorothiazide,benazepril/hydrochlorothiazide
benazepril hcl,benazepril hcl
benazepril hcl-hctz,benazepril/hydrochlorothiazide
benicar hct,olmesartan/hydrochlorothiazide
bentyl,dicyclomine hcl
benzaclin,clindamycin phos/benzoyl perox
benzamycin,erythromycin/benzoyl peroxide
benzamycinpak,erythromycin/benzoyl peroxide
benzphetamine hcl,benzphetamine hcl
benztropine mesylate,benztropine mesylate
bepreve,bepotastine besilate
berinert,c1 esterase inhibitor
besivance,besifloxacin hcl
betagan,levobunolol hcl
betamethasone acetate-sod phos,betamet acet/betamet na ph
betamethasone dipropionate,betamethasone/propylene glyc
betapace,sotalol hcl
betapace af,sotalol hcl
betaxolol hcl,betaxolol hcl
bethanechol chloride,bethanechol chloride
betoptic s,betaxolol hcl
bexsero,"meningococcal b vacc,4-comp/pf"
beyaz,drospir/eth estra/levomefol ca
bicillin c-r,pen g benz/pen g procaine
bicillin l-a,penicillin g benzathine
bidil,isosorb dinit/hydralazine hcl
bifera rx,iron polysac/iron heme/fa/b12
binosto,alendronate sodium
bisoprolol-hydrochlorothiazide,bisoprolol fumarate/hctz
bisoprolol fumarate,bisoprolol fumarate
bisoprolol fumarate-hctz,bisoprolol fumarate/hctz
bivigam,immun glob g (igg)/gly/iga 50+
bleomycin sulfate,bleomycin sulfate
bleph-10,sulfacetamide sodium
blephamide,sulfacetm na/prednisol ac
blephamide s.o.p.,sulfacetm na/prednisol ac
boniva,ibandronate sodium
boostrix,"diphth,pertuss(acell),tet vac"
boostrix tdap,"diphth,pertuss(acell),tet vac"
borofair,acetic acid/aluminum acetate
botox,onabotulinumtoxina
botox cosmetic,onabotulinumtoxina
bp-50% urea,urea/lactic ac/zn undecylenate
bp 10-1,sulfacetamide sodium/sulfur
bpm,brompheniramine maleate
bpm pseudo,brompheniramin/pseudoephedrine
breo ellipta,fluticasone/vilanterol
brevicon,norethindrone-ethinyl estrad
briellyn,norethindrone-ethinyl estrad
brimonidine tartrate,brimonidine tartrate
brintellix,vortioxetine hydrobromide
brisdelle,paroxetine mesylate
bromax,brompheniramine maleate
bromax d,brompheniramin/phenylephrine
bromday,bromfenac sodium
bromfed dm,brompheniramine/pseudoephed/dm
bromfenac sodium,bromfenac sodium
bromocriptine mesylate,bromocriptine mesylate
broncomar-1,guaifen/theop anhyd/p-ephed
brovana,arformoterol tartrate
brovex pse,brompheniramin/pseudoephedrine
bss,balanced salt irrig soln no.2
bucalsep,b-caine/zinc cl/pine/cpyrd
budeprion sr,bupropion hcl
budeprion xl,bupropion hcl
bunavail,buprenorphine hcl/naloxone hcl
bupap,butalbital/acetaminophen
bupivacaine hcl,bupivacaine hcl
bupivacaine hcl,bupivacaine hcl/pf
buprenex,buprenorphine hcl
buprenorphine-naloxone,buprenorphine hcl/naloxone hcl
buprenorphine hcl,buprenorphine hcl
buproban,bupropion hcl
bupropion hcl,bupropion hcl
bupropion hcl sr,bupropion hcl
bupropion xl,bupropion hcl
buspar,buspirone hcl
buspirone hcl,buspirone hcl
butalb-acetaminoph-caff-codein,butalbit/acetamin/caff/codeine
butalb-caff-acetaminoph-codein,butalbit/acetamin/caff/codeine
butalbital-acetaminophen,butalbital/acetaminophen
butalbital-acetaminophen-caffe,butalb/acetaminophen/caffeine
butalbital-aspirin-caffeine,butalbital/aspirin/caffeine
butalbital compound,butalbital/aspirin/caffeine
butalbital compound-codeine,codeine/butalbital/asa/caffein
butisol sodium,butabarbital sodium
butorphanol tartrate,butorphanol tartrate
bydureon,exenatide microspheres
bydureon pen,exenatide microspheres
bystolic,nebivolol hcl
c-nate dha,pnv 11-iron fum-folic acid-om3
c-phen dm,chlorpheniramine/phenyleph/dm
caduet,amlodipine/atorvastatin
cafergot,ergotamine tartrate/caffeine
caffeine citrate,caffeine citrated
cafgesic,sal-amide/acetamin/p-tlox/caff
cafgesic forte,mg sal/acetaminophn/p-tlox/caf
calan,verapamil hcl
calan sr,verapamil hcl
calcifolic-d,calcium/mag/d3/b12/fa/b6/boron
calcipotriene,calcipotriene
calcipotriene-betamethasone dp,calcipotriene/betamethasone
calcitonin-salmon,"calcitonin,salmon,synthetic"
calcitrene,calcipotriene
calcium-folic acid plus d,calcium/mag/d3/b12/fa/b6/boron
calcium folinate,leucovorin calcium
cambia,diclofenac potassium
camila,norethindrone
campral,acamprosate calcium
camptosar,irinotecan hcl
camrese,l-norgest/e.estradion-e.estrad
camrese lo,l-norgest/e.estradion-e.estrad
canasa,mesalamine
cancidas,caspofungin acetate
candesartan-hydrochlorothiazid,candesartan/hydrochlorothiazid
candesartan cilexetil,candesartan cilexetil
cantil,mepenzolate bromide
capacet,butalb/acetaminophen/caffeine
capastat sulfate,capreomycin sulfate
capcof,chlorpheniramine/pe/codeine
caphosol,saliva substitute combo no.2
capital w-codeine,acetaminophen with codeine
captopril-hydrochlorothiazide,captopril/hydrochlorothiazide
captracin,capsaicin/menthol
carbidopa,carbidopa
carbidopa-levodopa,carbidopa/levodopa
carbidopa-levodopa-entacapone,carbidopa/levodopa/entacapone
carbidopa-levodopa er,carbidopa/levodopa
carbinoxamine maleate,carbinoxamine maleate
carbocaine,mepivacaine hcl/pf
carbofed dm,brompheniramine/pseudoephed/dm
cardene sr,nicardipine hcl
cardiotek-rx,fa/arginine hcl/b12/b6/pep ex
cardizem,diltiazem hcl
cardizem cd,diltiazem hcl
cardizem la,diltiazem hcl
cardura,doxazosin mesylate
cardura xl,doxazosin mesylate
carefine pen needle,"pen needle, diabetic"
careone,"syr-nd,ins,0.5/container,empty"
carimune nf nanofiltered,immun glob g(igg)/sucr/iga 50+
carisoprodol-aspirin,carisoprodol/aspirin
carisoprodol-aspirin-codeine,codeine/carisoprodol/aspirin
carisoprodol compound,carisoprodol/aspirin
carisoprodol compound-codeine,codeine/carisoprodol/aspirin
carmol 40,urea
carmol hc,hydrocortisone acetate/urea
carteolol hcl,carteolol hcl
cartia xt,diltiazem hcl
cataflam,diclofenac potassium
catapres,clonidine hcl
cavan-alpha kit,pnv67/sod iron edta& ps/fa/om3
cavan-ec sod dha,pnv48/iron na feredetat/fa/om3
cavan-folate dha,prenat vit comb.10/iron/fa/dha
cavan-folate ob,prenatal vit comb.10/iron/fa
cavan-heme ob,pnv #8/iron ps & heme polyp/fa
cavan-heme omega,pnv combo #8/iron/folic ac/dha
cavan-x,cyanocobalamin/fa/pyridoxine
cavan one omega,pnv w-ca no.37/iron/fa/omega-3
caziant,desogestrel-ethinyl estradiol
cefazolin,"cefazolin sodium/dextrose,iso"
cefazolin sodium,cefazolin sodium
cefazolin sodium,"cefazolin sodium/dextrose,iso"
cefazolin sodium-dextrose,"cefazolin sodium/dextrose,iso"
cefditoren pivoxil,cefditoren pivoxil
cefepime,"cefepime hcl/dextrose, iso-osm"
cefepime-dextrose,cefepime hcl/d5w
cefepime hcl,cefepime hcl
cefotaxime sodium,cefotaxime sodium
cefotetan,cefotetan disodium
cefotetan & dextrose,"cefotetan disod/dextrose,iso"
cefoxitin,cefoxitin sodium
cefoxitin sodium,"cefoxitin sodium/dextrose,iso"
cefpodoxime proxetil,cefpodoxime proxetil
ceftin,cefuroxime axetil
ceftriaxone,"ceftriaxone na/dextrose,iso"
ceftriaxone,ceftriaxone sodium
cefuroxime,cefuroxime axetil
cefuroxime axetil,cefuroxime axetil
cefuroxime sodium,cefuroxime sodium
celexa,citalopram hydrobromide
cellcept,mycophenolate mofetil
cellcept,mycophenolate mofetil hcl
celontin,methsuximide
cem-urea,urea
cenestin,"estrogens,conj.,synthetic a"
centratex,"fe fumarate/fa/mv, min comb#15"
cephadyn,butalbital/acetaminophen
cephalexin,cephalexin
cerdelga,eliglustat tartrate
cerebyx,fosphenytoin sodium
cerefolin,vit b12/lmefolate ca/vit b6/b2
cerefolin nac,lmfol ca/acetyl/mb12/algal oil
cerefolin nac,acetyl/methyl-b12/lmefolate ca
ceron,chlorpheniramine/phenylephrine
ceron-dm,chlorpheniramine/phenyleph/dm
cesia,desogestrel-ethinyl estradiol
cetirizine hcl,cetirizine hcl
cetraxal,ciprofloxacin hcl
cevimeline hcl,cevimeline hcl
chantix,varenicline tartrate
chemet,succimer
chenodal,chenodiol
cheratussin ac,guaifenesin/codeine phosphate
chlor-mes d,chlor-mal/phenyleph/methscop
chloramphenicol sod succinate,chloramphenicol sod succ
chlordiazepoxide-amitriptyline,amitrip hcl/chlordiazepoxide
chlordiazepoxide hcl,chlordiazepoxide hcl
chlorhexidine gluconate,chlorhexidine gluconate
chloroquine phosphate,chloroquine phosphate
chloroxylenol-pramoxine hcl,chloroxylenol/pramoxine hcl
chlorphen-pse-dm tannate,chlorphen/pseudoeph/dm tannate
chlorpromazine hcl,chlorpromazine hcl
chlorthalidone,chlorthalidone
choice-ob + dha,prenatal vits #33/iron/fa/dha
choice-tabs,"mv,min #10/fa/d3/alip acid/lut"
cholestyramine,cholestyramine (with sugar)
cholestyramine light,cholestyramine/aspartame
choline mag trisalicylate,choline sal/mag salicylate
chorionic gonadotropin,"chorionic gonadotropin, human"
ciloxan,ciprofloxacin hcl
cinryze,c1 esterase inhibitor
cipro hc,ciprofloxacin/hydrocortisone
cipro i.v.,ciprofloxacin lactate/d5w
ciprodex,ciprofloxacin hcl/dexameth
ciprofloxacin-d5w,ciprofloxacin lactate/d5w
ciprofloxacin er,ciprofloxacin/ciprofloxa hcl
ciprofloxacin hcl,ciprofloxacin hcl
citalopram,citalopram hydrobromide
citalopram hbr,citalopram hydrobromide
citranatal 90 dha,pn w-ca64/iron cb&gl/fa/dss/dh
citranatal 90 dha,"pnv72/iron,carb&glu/fa/dss/dha"
citranatal assure,pnv38/iron cbn&gluc/fa/dss/dha
citranatal assure,"pnv73/iron,carb&glu/fa/dss/dha"
citranatal b-calm,"pnv with ca,no63/iron/fa/b6"
citranatal b-calm,"prenatal #48/iron cb,glu/fa/b6"
citranatal dha,pnv22/iron cbn&gluc/fa/dss/dha
citranatal dha,"pnv76/iron,carb&glu/fa/dss/dha"
citranatal harmony,"pnv34/iron,carbonyl/fa/dss/dha"
citranatal harmony,"pnv59/iron,carb&fum/fa/dss/dha"
citranatal harmony,"pnv59/iron,carbonyl/fa/dss/dha"
citranatal harmony,"pnv69/iron,carbonyl/fa/dss/dha"
citranatal rx,pnv no.22/iron cbn&gluc/fa/dss
citranatal rx,pnv no.81/iron cbn&gluc/fa/dss
claforan,cefotaxime sodium
clarifoam ef,sulfacetamide sodium/sulfur
clarinex-d 12 hour,desloratadine/pseudoephedrine
clarinex-d 24 hour,desloratadine/pseudoephedrine
claris,sulfacetamide sod/sulfur/urea
cleansing wash,sulfacetamide sod/sulfur/urea
clemastine fumarate,clemastine fumarate
clenia,sulfacetamide sodium/sulfur
cleocin,clindamycin phosphate
cleocin hcl,clindamycin hcl
cleocin palmitate,clindamycin palmitate hcl
cleocin phosphate,clindamycin phosphate
cleocin phosphate in d5w,clindamycin phosphate/d5w
cleocin t,clindamycin phosphate
clickfine,"pen needle, diabetic"
climara pro,estradiol/levonorgestrel
clindacin etz,clindamycin phos/skin clnsr 19
clindacin etz,clindamycin phosphate
clindacin p,clindamycin phosphate
clindacin pac,clindamycin phos/skin clnsr 19
clindagel,clindamycin phosphate
clindamax,clindamycin phosphate
clindamycin-benzoyl peroxide,clindamycin phos/benzoyl perox
clindamycin hcl,clindamycin hcl
clindamycin palmitate hcl,clindamycin palmitate hcl
clindamycin pediatric,clindamycin palmitate hcl
clindamycin phos-benzoyl perox,clindamycin phos/benzoyl perox
clindamycin phosphate,clindamycin phosphate
clindamycin phosphate-d5w,clindamycin phosphate/d5w
clindareach,clindamycin phosphate
clindesse,clindamycin phosphate
clinimix,amino acid 4.25 %/dextrose 25%
clinimix,amino acids 4.25 %/dextrose 5%
clinimix,amino acids 4.25%/dextrose 10%
clinimix,amino acids 5 %/dextrose 15 %
clinimix,amino acids 5 %/dextrose 20 %
clinimix,amino acids 5 %/dextrose 25 %
clinimix e,aa 4.25%/calcium/lytes/d25w
clinimix e,aa 4.25%/calcium/lytes/d5w
clinimix e,aa 4.25%/calcium/lytes/dex 10%
clinimix e,aa 5 %/calcium/lytes/dext 15 %
clinimix e,aa 5 %/calcium/lytes/dext 20 %
clinimix e,aa 5 %/calcium/lytes/dext 25 %
clinisol,parenteral amino acid 15% no.1
clobeta + plus,clobetasol propionate/coal tar
clobetasol emollient,clobetasol propionate/emoll
clobetasol emulsion,clobetasol propionate/emoll
clobetasol propionate,clobetasol propionate
clobex,clobetasol propionate
clocortolone pivalate,clocortolone pivalate
clodan,clobetasol propionate
clodan,clobetasol/skin cleanser #28
cloderm,clocortolone pivalate
clomiphene citrate,clomiphene citrate
clomipramine hcl,clomipramine hcl
clonidine hcl,clonidine hcl
clonidine hcl,clonidine hcl/pf
clonidine hcl er,clonidine hcl
clopidogrel,clopidogrel bisulfate
clorazepate dipotassium,clorazepate dipotassium
clorpres,clonidine hcl/chlorthalidone
clotrimazole-betamethasone,clotrimazole/betamethasone dip
cnl 8,ciclopirox/nail lacquer removr
co-gesic,hydrocodone/acetaminophen
coartem,artemether/lumefantrine
cocaine hcl,cocaine hcl
codeine sulfate,codeine sulfate
cogentin,benztropine mesylate
colazal,balsalazide disodium
colestid,colestipol hcl
colestipol hcl,colestipol hcl
colistimethate,colistin (colistimethate na)
coly-mycin m parenteral,colistin (colistimethate na)
coly-mycin s,neomycin su/colist/hc/thonzon
colyte,"peg 3350/na sulf,bicarb,cl/kcl"
colyte with flavor packets,"peg 3350/na sulf,bicarb,cl/kcl"
colyte with flavor packs,"peg 3350/na sulf,bicarb,cl/kcl"
combigan,brimonidine tartrate/timolol
combipatch,estradiol/norethindrone acet
combivent,ipratropium/albuterol sulfate
combivent respimat,ipratropium/albuterol sulfate
combivir,lamivudine/zidovudine
cometriq,cabozantinib s-malate
comfort ez,"pen needle, diabetic"
comfort ez,"syring w-ndl,disp,insul,0.3 ml"
comfort ez,"syring w-ndl,disp,insul,0.5 ml"
comfort ez,"syringe and needle,insulin,1ml"
complera,emtricitab/rilpivirine/tenofov
complete-rf prenatal,prenatal vit 17/iron cb/fa/dss
complete natal dha,pnv2/iron b-g suc-p/fa/omega-3
completenate,pnv #14/ferrous fum/folic acid
comvax,hep b vaccine/hib conj-meng/pf
concept dha,pnv#16/iron fum & ps/fa/om-3
concept ob,"pnv #15/iron fum,ps/folic acid"
concerta,methylphenidate hcl
condylox,podofilox
contrave,naltrexone hcl/bupropion hcl
conzip,tramadol hcl
cordarone,amiodarone hcl
cordran,flurandrenolide
corenate-dha,pnv38/iron cbn&gluc/fa/dss/dha
corfen-dm,chlorpheniramine/phenyleph/dm
corlanor,ivabradine hcl
cormax,clobetasol propionate
cortisone,cortisone acetate
cortisone acetate,cortisone acetate
cortisporin,neomycin/bacitra/polymyxin/hc
cortisporin,neomycin/polymyxin b sulf/hc
cortisporin-tc,neomycin su/colist/hc/thonzon
cortomycin,neomycin/polymyxin b sulf/hc
corvita,fa/mvi ther-min/lycopene/lut
corvita 150,"iron, carbonyl/fa/c/b-6/b12/zn"
corvite,fa/mvi ther-min/lycopene/lut
corvite 150,"iron, carbonyl/fa/c/b-6/b12/zn"
corvite 150,"iron,carb/fa#6/mv, min no.41"
corvite fe,"iron &iron asp gly/fa/mv,min27"
corvite fe,"iron,carb/fa#6/mv, min no.40"
corvite free,"mv, min cmb #6/fa/lut/lyco/q10"
corzall-pe,dexchlorpheniram-pe-carbetapen
corzall plus,pyrilamine/pseudoephed/carbeta
corzide,nadolol/bendroflumethiazide
cosopt,dorzolamide hcl/timolol maleat
cosopt pf,dorzolamide/timolol/pf
cotellic,cobimetinib fumarate
coumadin,warfarin sodium
covera-hs,verapamil hcl
cozaar,losartan potassium
creon,lipase/protease/amylase
cresemba,isavuconazonium sulfate
crestor,rosuvastatin calcium
cresylate,cresyl acetate
crinone,"progesterone,micronized"
crixivan,indinavir sulfate
crolom,cromolyn sodium
cromolyn sodium,cromolyn sodium
cryselle,norgestrel-ethinyl estradiol
curad gauze pads,gauze bandage
curity,gauze bandage
curity alcohol preps,alcohol antiseptic pads
curity amd,polyhexam biguan/gauze bandage
cutivate,fluticasone propionate
cuvposa,glycopyrrolate
cyanocobalamin injection,cyanocobalamin (vitamin b-12)
cyclafem,norethindrone-ethinyl estrad
cyclessa,desogestrel-ethinyl estradiol
cyclobenzaprine hcl,cyclobenzaprine hcl
cyclogyl,cyclopentolate hcl
