brand_name,generic_name
liothyronine sodium,liothyronine sodium
saxenda,liraglutide
victoza 2-pak,liraglutide
victoza 3-pak,liraglutide
lisinopril,lisinopril
prinivil,lisinopril
zestril,lisinopril
ceenu,lomustine
amyl nitrite,amyl nitrite
gleostine,lomustine
lomustine,lomustine
ativan,lorazepam
lorazepam,lorazepam
lorazepam intensol,lorazepam
altoprev,lovastatin
lovastatin,lovastatin
mevacor,lovastatin
amitiza,lubiprostone
luzu,luliconazole
opsumit,macitentan
magnesium chloride,magnesium chloride
kineret,anakinra
magnesium sulfate,magnesium sulfate
magnesium sulfate,magnesium sulfate in water
malathion,malathion
ovide,malathion
mannitol,mannitol
selzentry,maraviroc
anastrozole,anastrozole
mebendazole,mebendazole
arimidex,anastrozole
mefenamic acid,mefenamic acid
eraxis (water diluent),anidulafungin
ponstel,mefenamic acid
meloxicam,meloxicam
mobic,meloxicam
alkeran,melphalan
meprobamate,meprobamate
mercaptopurine,mercaptopurine
purinethol,mercaptopurine
meropenem,meropenem
merrem,meropenem
acarbose,acarbose
mesna,mesna
mesnex,mesna
methazolamide,methazolamide
neptazane,methazolamide
methocarbamol,methocarbamol
robaxin,methocarbamol
robaxin-750,methocarbamol
8-mop,methoxsalen
oxsoralen,methoxsalen
methyclothiazide,methyclothiazide
relistor,methylnaltrexone bromide
daytrana,methylphenidate
medrol,methylprednisolone
meprolone unipak,methylprednisolone
methylprednisolone,methylprednisolone
android,methyltestosterone
methitest,methyltestosterone
precose,acarbose
eliquis,apixaban
methyltestosterone,methyltestosterone
testred,methyltestosterone
metipranolol,metipranolol
optipranolol,metipranolol
metolazone,metolazone
zaroxolyn,metolazone
myalept,metreleptin
flagyl,metronidazole
flagyl er,metronidazole
metrocream,metronidazole
metrogel,metronidazole
metrogel-vaginal,metronidazole
metrolotion,metronidazole
metronidazole,metronidazole
noritate,metronidazole
nuvessa,metronidazole
rosadan,metronidazole
vandazole,metronidazole
vitazol,metronidazole
metrogel,metronidazole/skin cleanser
rosadan,metronidazole/skin cleansr #23
metronidazole,metronidazole/sodium chloride
oravig,miconazole
otezla,apremilast
korlym,mifepristone
glyset,miglitol
zavesca,miglustat
emend,aprepitant
minoxidil,minoxidil
myrbetriq,mirabegron
mirtazapine,mirtazapine
remeron,mirtazapine
cytotec,misoprostol
misoprostol,misoprostol
mitomycin,mitomycin
lysodren,mitotane
modafinil,modafinil
provigil,modafinil
abilify,aripiprazole
abilify discmelt,aripiprazole
abilify maintena,aripiprazole
aripiprazole,aripiprazole
aripiprazole odt,aripiprazole
bactroban,mupirocin
nuvigil,armodafinil
centany,mupirocin
centany at,mupirocin
mupirocin,mupirocin
bactroban,mupirocin calcium
mupirocin,mupirocin calcium
trisenox,arsenic trioxide
cesamet,nabilone
nabumetone,nabumetone
corgard,nadolol
nadolol,nadolol
ec-naprosyn,naproxen
naprosyn,naproxen
naproxen,naproxen
tysabri,natalizumab
natacyn,natamycin
nateglinide,nateglinide
starlix,nateglinide
ilevro,nepafenac
nevanac,nepafenac
nevirapine,nevirapine
atenolol,atenolol
nevirapine er,nevirapine
viramune,nevirapine
viramune xr,nevirapine
tenormin,atenolol
nicotine patch,nicotine
nicotrol,nicotine
nicotrol ns,nicotine
adalat cc,nifedipine
afeditab cr,nifedipine
nifediac cc,nifedipine
nifedical xl,nifedipine
nifedipine,nifedipine
nifedipine er,nifedipine
nifedipine xl,nifedipine
procardia,nifedipine
procardia xl,nifedipine
nilandron,nilutamide
nimodipine,nimodipine
nisoldipine,nisoldipine
sular,nisoldipine
alinia,nitazoxanide
furadantin,nitrofurantoin
nitrofurantoin,nitrofurantoin
nitrofurantoin,nitrofurantoin macrocrystal
opdivo,nivolumab
axid,nizatidine
nizatidine,nizatidine
atovaquone,atovaquone
mepron,atovaquone
noroxin,norfloxacin
nyamyc,nystatin
nystatin,nystatin
nystop,nystatin
pedi-dri,nystatin
gazyva,obinutuzumab
arzerra,ofatumumab
floxin,ofloxacin
ocuflox,ofloxacin
ofloxacin,ofloxacin
olanzapine,olanzapine
olanzapine odt,olanzapine
zyprexa,olanzapine
zyprexa zydis,olanzapine
lynparza,olaparib
benicar,olmesartan medoxomil
ridaura,auranofin
synribo,omacetaxine mepesuccinate
xolair,omalizumab
stendra,avanafil
omeprazole,omeprazole
prilosec,omeprazole
prilosec,omeprazole magnesium
inlyta,axitinib
ondansetron odt,ondansetron
zofran odt,ondansetron
zuplenz,ondansetron
azacitidine,azacitidine
neumega,oprelvekin
xenical,orlistat
osphena,ospemifene
vidaza,azacitidine
eloxatin,oxaliplatin
oxaliplatin,oxaliplatin
oxandrin,oxandrolone
oxandrolone,oxandrolone
daypro,oxaprozin
oxaprozin,oxaprozin
oxazepam,oxazepam
oxcarbazepine,oxcarbazepine
azasan,azathioprine
oxtellar xr,oxcarbazepine
trileptal,oxcarbazepine
gelnique,oxybutynin
oxytrol,oxybutynin
gelnique,oxybutynin chloride
azathioprine,azathioprine
imuran,azathioprine
azelex,azelaic acid
anadrol-50,oxymetholone
oxytocin,oxytocin
pitocin,oxytocin
finacea,azelaic acid
onxol,paclitaxel
paclitaxel,paclitaxel
ibrance,palbociclib
invega,paliperidone
paliperidone er,paliperidone
synagis,palivizumab
vectibix,panitumumab
natpara,parathyroid hormone
paricalcitol,paricalcitol
zemplar,paricalcitol
neulasta,pegfilgrastim
pegasys,peginterferon alfa-2a
pegasys proclick,peginterferon alfa-2a
pegintron,peginterferon alfa-2b
pegintron redipen,peginterferon alfa-2b
sylatron,peginterferon alfa-2b
sylatron 4-pack,peginterferon alfa-2b
plegridy,peginterferon beta-1a
plegridy pen,peginterferon beta-1a
krystexxa,pegloticase
somavert,pegvisomant
keytruda,pembrolizumab
edarbi,azilsartan medoxomil
azasite,azithromycin
azithromycin,azithromycin
zithromax,azithromycin
denavir,penciclovir
zithromax tri-pak,azithromycin
cuprimine,penicillamine
depen,penicillamine
nebupent,pentamidine isethionate
pentam 300,pentamidine isethionate
zmax,azithromycin
elmiron,pentosan polysulfate sodium
nipent,pentostatin
pentopak,pentoxifylline
pentoxifylline,pentoxifylline
pentoxil,pentoxifylline
trental,pentoxifylline
fycompa,perampanel
azithromycin,azithromycin hydrogen citrate
acticin,permethrin
elimite,permethrin
permethrin,permethrin
perphenazine,perphenazine
azactam,aztreonam
perjeta,pertuzumab
phenobarbital,phenobarbital
aztreonam,aztreonam
dilantin,phenytoin
dilantin-125,phenytoin
phenytoin,phenytoin
dilantin,phenytoin sodium extended
elidel,pimecrolimus
orap,pimozide
pimozide,pimozide
pindolol,pindolol
esbriet,pirfenidone
feldene,piroxicam
piroxicam,piroxicam
mozobil,plerixafor
baciim,bacitracin
bacitracin,bacitracin
baclofen,baclofen
gablofen,baclofen
lioresal intrathecal,baclofen
pomalyst,pomalidomide
noxafil,posaconazole
potassium chloride,pot chloride/pot bicarb/cit ac
potassium acetate,potassium acetate
epiklor,potassium chloride
k-sol,potassium chloride
k-tab er,potassium chloride
kaon-cl 10,potassium chloride
klor-con,potassium chloride
klor-con 10,potassium chloride
klor-con 8,potassium chloride
klor-con m10,potassium chloride
klor-con m15,potassium chloride
klor-con m20,potassium chloride
klor-con sprinkle,potassium chloride
micro-k,potassium chloride
potassium chloride,potassium chloride
potassium citrate,potassium citrate
potassium citrate er,potassium citrate
urocit-k,potassium citrate
sski,potassium iodide
betadine,povidone-iodine
folotyn,pralatrexate
biltricide,praziquantel
dermatop,prednicarbate
prednicarbate,prednicarbate
millipred,prednisolone
millipred dp,prednisolone
prednisolone,prednisolone
prelone,prednisolone
millipred,prednisolone sod phosphate
deltasone,prednisone
prednisone,prednisone
prednisone intensol,prednisone
rayos,prednisone
lyrica,pregabalin
regranex,becaplermin
mysoline,primidone
primidone,primidone
probenecid,probenecid
compazine,prochlorperazine
compro,prochlorperazine
prochlorperazine,prochlorperazine
prochlorperazine maleate,prochlorperazine
compazine,prochlorperazine maleate
prochlorperazine maleate,prochlorperazine maleate
progesterone,progesterone
progesterone in oil,progesterone
progesterone,"progesterone,micronized"
nulojix,belatacept
benlysta,belimumab
propylthiouracil,propylthiouracil
pyrazinamide,pyrazinamide
daraprim,pyrimethamine
doral,quazepam
synercid,quinupristin/dalfopristin
rozerem,ramelteon
altace,ramipril
ramipril,ramipril
cyramza,ramucirumab
lucentis,ranibizumab
ranexa,ranolazine
stivarga,regorafenib
prandin,repaglinide
repaglinide,repaglinide
benzotic,benzocaine
reserpine,reserpine
altabax,retapamulin
copegus,ribavirin
moderiba,ribavirin
rebetol,ribavirin
ribapak,ribavirin
pinnacaine,benzocaine
ribasphere,ribavirin
ribasphere ribapak,ribavirin
ribavirin,ribavirin
mycobutin,rifabutin
rifabutin,rifabutin
priftin,rifapentine
xifaxan,rifaximin
arcalyst,rilonacept
rilutek,riluzole
riluzole,riluzole
vexol,rimexolone
adempas,riociguat
risperdal,risperidone
bensal hp,benzoic acid/salicylic acid
risperdal m-tab,risperidone
risperidone,risperidone
risperidone odt,risperidone
norvir,ritonavir
rituxan,rituximab
xarelto,rivaroxaban
exelon,rivastigmine
rivastigmine,rivastigmine
exelon,rivastigmine tartrate
benzonatate,benzonatate
rivastigmine,rivastigmine tartrate
rocuronium bromide,rocuronium bromide
daliresp,roflumilast
istodax,romidepsin
nplate,romiplostim
tessalon perle,benzonatate
neupro,rotigotine
banzel,rufinamide
zonatuss,benzonatate
sucraid,sacrosidase
aliclen,salicylic acid
benzefoam,benzoyl peroxide
bensal hp,salicylic acid
durasal,salicylic acid
keralyt,salicylic acid
keralyt scalp,salicylic acid
sa 6%,salicylic acid
salacyn,salicylic acid
salex,salicylic acid
salicylic acid,salicylic acid
salitop,salicylic acid
salvax,salicylic acid
benzefoam ultra,benzoyl peroxide
virasal,salicylic acid
salex,salicylic acid/ceramide cmb #1
salicylic acid,salicylic acid/ceramide cmb #1
disalcid,salsalate
salsalate,salsalate
benzepro,benzoyl peroxide
leukine,sargramostim
transderm-scop,scopolamine
benzoyl peroxide,benzoyl peroxide
cosentyx (2 syringes),secukinumab
cosentyx pen,secukinumab
cosentyx pen (2 pens),secukinumab
cosentyx syringe,secukinumab
emsam,selegiline
selenium sulfide,selenium sulfide
selenos,selenium sulfide
bp wash,benzoyl peroxide
tersi foam,selenium sulfide
bpo,benzoyl peroxide
rapaflo,silodosin
sylvant,siltuximab
silver nitrate,silver nitrate
silvadene,silver sulfadiazine
silver sulfadiazine,silver sulfadiazine
ssd,silver sulfadiazine
ssd af,silver sulfadiazine
thermazene,silver sulfadiazine
clinac bpo,benzoyl peroxide
simvastatin,simvastatin
zocor,simvastatin
veregen,sinecatechins
rapamune,sirolimus
sirolimus,sirolimus
desquam-x,benzoyl peroxide
sodium acetate,sodium acetate
neut,sodium bicarbonate
sodium bicarbonate,sodium bicarbonate
sodium chloride,sodium chloride
sodium chloride,sodium chloride 0.45 %
sodium chloride,sodium chloride 3 %
lavoclen-4,benzoyl peroxide
sodium chloride,sodium chloride 5 %
sodium chloride,sodium chloride for inhalation
sodium chloride,sodium chloride irrig solution
lavoclen-8,benzoyl peroxide
clinpro 5000,sodium fluoride
control rx,sodium fluoride
denta 5000 plus,sodium fluoride
dentagel,sodium fluoride
epiflur,sodium fluoride
ethedent,sodium fluoride
fluor-a-day,sodium fluoride
fluoride,sodium fluoride
oscion,benzoyl peroxide
fluoridex daily defense,sodium fluoride
fluoridex defense whitening,sodium fluoride
fluoritab,sodium fluoride
lozi-flur,sodium fluoride
ludent fluoride,sodium fluoride
phos-flur,sodium fluoride
prevident,sodium fluoride
prevident 5000,sodium fluoride
prevident 5000 plus,sodium fluoride
renaf,sodium fluoride
triaz,benzoyl peroxide
sf,sodium fluoride
sf 5000 plus,sodium fluoride
sodium fluoride,sodium fluoride
fluor-a-day,sodium fluoride/xylitol
glycophos,sodium glycerophosphate
benzoyl peroxide,benzoyl peroxide microspheres
buphenyl,sodium phenylbutyrate
sodium phenylbutyrate,sodium phenylbutyrate
benzoyl peroxide,benzoyl peroxide&skin cleansr5
sovaldi,sofosbuvir
genotropin,somatropin
humatrope,somatropin
norditropin,somatropin
norditropin flexpro,somatropin
norditropin nordiflex,somatropin
nutropin,somatropin
lavoclen-4,benzoyl peroxide&skin cleansr5
nutropin aq,somatropin
nutropin aq nuspin,somatropin
omnitrope,somatropin
saizen,somatropin
serostim,somatropin
tev-tropin,somatropin
zomacton,somatropin
zorbtive,somatropin
lavoclen-8,benzoyl peroxide&skin cleansr5
aldactone,spironolactone
spironolactone,spironolactone
gel-kam,stannous fluoride
periomed,stannous fluoride
stannous fluoride,stannous fluoride
stavudine,stavudine
zerit,stavudine
zanosar,streptozocin
benzoyl peroxide,benzoyl peroxide/urea
carafate,sucralfate
sucralfate,sucralfate
sulfadiazine,sulfadiazine
ulesfia,benzyl alcohol
avc,sulfanilamide
azulfidine,sulfasalazine
sulfasalazine,sulfasalazine
sulfasalazine dr,sulfasalazine
clinoril,sulindac
sulindac,sulindac
imitrex,sumatriptan
sumatriptan,sumatriptan
imitrex,sumatriptan succinate
cystadane,betaine
celestone,betamet acet/betamet na ph
celestone,betamethasone
astagraf xl,tacrolimus
hecoria,tacrolimus
prograf,tacrolimus
protopic,tacrolimus
tacrolimus,tacrolimus
adcirca,tadalafil
cialis,tadalafil
elelyso,taliglucerase alfa
hetlioz,tasimelteon
avage,tazarotene
fabior,tazarotene
tazorac,tazarotene
gattex,teduglutide
incivek,telaprevir
tyzeka,telbivudine
ketek,telithromycin
micardis,telmisartan
telmisartan,telmisartan
restoril,temazepam
temazepam,temazepam
temodar,temozolomide
torisel,temsirolimus
avastin,bevacizumab
terazol 3,terconazole
terazol 7,terconazole
terconazole,terconazole
zazole,terconazole
bexarotene,bexarotene
aubagio,teriflunomide
forteo,teriparatide
androderm,testosterone
androgel,testosterone
axiron,testosterone
fortesta,testosterone
natesto,testosterone
striant,testosterone
testim,testosterone
targretin,bexarotene
testopel,testosterone
testosterone,testosterone
vogelxo,testosterone
bicalutamide,bicalutamide
tetrabenazine,tetrabenazine
xenazine,tetrabenazine
casodex,bicalutamide
thalomid,thalidomide
bimatoprost,bimatoprost
thiotepa,thiotepa
latisse,bimatoprost
brilinta,ticagrelor
tygacil,tigecycline
betimol,timolol
lumigan,bimatoprost
tindamax,tinidazole
tinidazole,tinidazole
thiola,tiopronin
spiriva,tiotropium bromide
spiriva respimat,tiotropium bromide
aptivus,tipranavir
aptivus,tipranavir/vitamin e tpgs
bethkis,tobramycin
tobi podhaler,tobramycin
tobramycin,tobramycin
tobrex,tobramycin
tobramycin,tobramycin in 0.225% nacl
actemra,tocilizumab
tolazamide,tolazamide
tolbutamide,tolbutamide
tasmar,tolcapone
tolcapone,tolcapone
samsca,tolvaptan
qudexy xr,topiramate
topamax,topiramate
topiramate,topiramate
topiramate er,topiramate
trokendi xr,topiramate
mavik,trandolapril
trandolapril,trandolapril
cyklokapron,tranexamic acid
lysteda,tranexamic acid
tranexamic acid,tranexamic acid
herceptin,trastuzumab
travatan z,travoprost
atralin,tretinoin
avita,tretinoin
retin-a,tretinoin
tretin-x,tretinoin
tretinoin,tretinoin
tretin-x,tretinoin/emol cmb9/skin cln1
tretinoin,tretinoin/emollient base
dyrenium,triamterene
halcion,triazolam
triazolam,triazolam
trifluridine,trifluridine
viroptic,trifluridine
primsol,trimethoprim
trimethoprim,trimethoprim
blincyto,blinatumomab
mydriacyl,tropicamide
tropicamide,tropicamide
victrelis,boceprevir
incruse ellipta,umeclidinium bromide
velcade,bortezomib
tracleer,bosentan
bosulif,bosutinib
adcetris,brentuximab vedotin
stelara,ustekinumab
depakene,valproic acid
stavzor,valproic acid
valproic acid,valproic acid
rexulti,brexpiprazole
depakene,valproic acid (as sodium salt)
valproic acid,valproic acid (as sodium salt)
valstar,valrubicin
diovan,valsartan
valsartan,valsartan
acetazolamide,acetazolamide
caprelsa,vandetanib
vandetanib,vandetanib
pitressin,vasopressin
vasopressin,vasopressin
entyvio,vedolizumab
vpriv,velaglucerase alfa
zelboraf,vemurafenib
visudyne,verteporfin
sabril,vigabatrin
erivedge,vismodegib
azopt,brinzolamide
vfend,voriconazole
vfend iv,voriconazole
voriconazole,voriconazole
zolinza,vorinostat
accolate,zafirlukast
zafirlukast,zafirlukast
sonata,zaleplon
zaleplon,zaleplon
relenza,zanamivir
retrovir,zidovudine
zidovudine,zidovudine
galzin,zinc acetate
zinc sulfate,zinc sulfate
zincate,zinc sulfate
zoledronic acid,zoledronic acid
zometa,zoledronic acid
zoledronic acid,zoledronic acid/mannitol&water
zometa,zoledronic acid/mannitol&water
zolmitriptan,zolmitriptan
zolmitriptan odt,zolmitriptan
zomig,zolmitriptan
zomig zmt,zolmitriptan
zonegran,zonisamide
zonisamide,zonisamide
diamox sequels,acetazolamide
budesonide,budesonide
budesonide ec,budesonide
entocort ec,budesonide
pulmicort,budesonide
pulmicort flexhaler,budesonide
acetic acid,acetic acid
rhinocort aqua,budesonide
uceris,budesonide
bumetanide,bumetanide
butrans,buprenorphine
myleran,busulfan
jevtana,cabazitaxel
cabergoline,cabergoline
calcitriol,calcitriol
lithostat,acetohydroxamic acid
rocaltrol,calcitriol
vectical,calcitriol
calcium acetate,calcium acetate
eliphos,calcium acetate
phoslo,calcium acetate
phoslyra,calcium acetate
calcium chloride,calcium chloride
calcium gluconate,calcium gluconate
invokana,canagliflozin
capecitabine,capecitabine
captopril,captopril
isopto carbachol,carbachol
carbamazepine,carbamazepine
carbamazepine er,carbamazepine
carbamazepine xr,carbamazepine
carbatrol,carbamazepine
epitol,carbamazepine
equetro,carbamazepine
tegretol,carbamazepine
tegretol xr,carbamazepine
carboplatin,carboplatin
carbaglu,carglumic acid
carisoprodol,carisoprodol
soma,carisoprodol
bicnu,carmustine
carvedilol,carvedilol
coreg,carvedilol
cefaclor,cefaclor
cefaclor er,cefaclor
cefadroxil,cefadroxil
cefdinir,cefdinir
acetylcysteine,acetylcysteine
omnicef,cefdinir
cefixime,cefixime
suprax,cefixime
acitretin,acitretin
cefprozil,cefprozil
ceftazidime,ceftazidime
fortaz,ceftazidime
soriatane,acitretin
tazicef,ceftazidime
ceftazidime,ceftazidime in dextrose5%water
cedax,ceftibuten
ceftibuten,ceftibuten
celebrex,celecoxib
celecoxib,celecoxib
zykadia,ceritinib
tudorza pressair,aclidinium bromide
cimzia,certolizumab pegol
erbitux,cetuximab
chloral hydrate,chloral hydrate
somnote,chloral hydrate
leukeran,chlorambucil
chlorothiazide,chlorothiazide
diuril,chlorothiazide
chlorpropamide,chlorpropamide
humira/humira pen,adalimumab
chlorzoxazone,chlorzoxazone
lorzone,chlorzoxazone
parafon forte dsc,chlorzoxazone
adapalene,adapalene
alvesco,ciclesonide
omnaris,ciclesonide
zetonna,ciclesonide
ciclodan,ciclopirox
ciclopirox,ciclopirox
loprox,ciclopirox
differin,adapalene
penlac,ciclopirox
ciclodan,ciclopirox olamine
ciclopirox,ciclopirox olamine
ciclodan,ciclopirox/skin cleanser no.28
ciclodan,ciclopirox/ure/camph/menth/euc
ciclopirox,ciclopirox/ure/camph/menth/euc
ciclopirox,ciclopirox/vite/nail lacq remo
cidofovir,cidofovir
vistide,cidofovir
cilostazol,cilostazol
pletal,cilostazol
cimetidine,cimetidine
cimetidine,cimetidine hcl
cipro,ciprofloxacin
ciprofloxacin,ciprofloxacin
cipro,ciprofloxacin hcl
ciprofloxacin,ciprofloxacin lactate
cisplatin,cisplatin
adefovir dipivoxil,adefovir dipivoxil
biaxin,clarithromycin
biaxin xl,clarithromycin
clarithromycin,clarithromycin
hepsera,adefovir dipivoxil
clarithromycin er,clarithromycin
eylea,aflibercept
onfi,clobazam
fabrazyme,agalsidase beta
albenza,albendazole
clonazepam,clonazepam
klonopin,clonazepam
catapres-tts 1,clonidine
catapres-tts 2,clonidine
catapres-tts 3,clonidine
clonidine,clonidine
tanzeum,albiglutide
clotrimazole,clotrimazole
clozapine,clozapine
clozapine odt,clozapine
clozaril,clozapine
fazaclo,clozapine
versacloz,clozapine
tybost,cobicistat
colchicine,colchicine
colcrys,colchicine
h.p. acthar,corticotropin
xalkori,crizotinib
folic acid,cyanocobalamin/fa/pyridoxine
cyclophosphamide,cyclophosphamide
cycloserine,cycloserine
seromycin,cycloserine
cytarabine,cytarabine
cytarabine,cytarabine/pf
dacarbazine,dacarbazine
danazol,danazol
aczone,dapsone
dapsone,dapsone
cubicin,daptomycin
darzalex,daratumumab
sprycel,dasatinib
dacogen,decitabine
decitabine,decitabine
exjade,deferasirox
jadenu,deferasirox
ferriprox,deferiprone
prolia,denosumab
xgeva,denosumab
clarinex,desloratadine
desloratadine,desloratadine
desonate,desonide
desonide,desonide
desowen,desonide
lokara,desonide
verdeso,desonide
lastacaft,alcaftadine
desowen,desonide/emollient combo.no 28
desowen,desonide/emollient combo.no 30
desoximetasone,desoximetasone
topicort,desoximetasone
desvenlafaxine er,desvenlafaxine
khedezla,desvenlafaxine
baycadron,dexamethasone
dexamethasone,dexamethasone
dexamethasone intensol,dexamethasone
dexpak,dexamethasone
maxidex,dexamethasone
ozurdex,dexamethasone
zema-pak,dexamethasone
dexilant,dexlansoprazole
kapidex,dexlansoprazole
diastat,diazepam
diastat acudial,diazepam
diazepam,diazepam
valium,diazepam
proglycem,diazoxide
didanosine,didanosine
videx,didanosine
videx ec,didanosine
diflunisal,diflunisal
durezol,difluprednate
digitek,digoxin
digoxin/digox,digoxin
lanoxin,digoxin
tecfidera,dimethyl fumarate
rimso-50,dimethyl sulfoxide
hydroquinone,dioxybenzone/pdo/hydroquinone
dipyridamole,dipyridamole
persantine,dipyridamole
antabuse,disulfiram
disulfiram,disulfiram
docetaxel,docetaxel
taxotere,docetaxel
tikosyn,dofetilide
domperidone,domperidone
doribax,doripenem
doxercalciferol,doxercalciferol
hectorol,doxercalciferol
proleukin,aldesleukin
dronabinol,dronabinol
marinol,dronabinol
droperidol,droperidol
amevive,alefacept
northera,droxidopa
trulicity,dulaglutide
avodart,dutasteride
dutasteride,dutasteride
campath,alemtuzumab
kalbitor,ecallantide
soliris,eculizumab
lemtrada,alemtuzumab
sustiva,efavirenz
jublia,efinaconazole
vitekta,elvitegravir
jardiance,empagliflozin
emtriva,emtricitabine
fuzeon,enfuvirtide
comtan,entacapone
entacapone,entacapone
baraclude,entecavir
entecavir,entecavir
xtandi,enzalutamide
adrenaclick,epinephrine
adrenalin,epinephrine
adrenalin chloride,epinephrine
auvi-q,epinephrine
epinephrine,epinephrine
epipen,epinephrine
epipen 2-pak,epinephrine
epipen jr,epinephrine
epipen jr 2-pak,epinephrine
twinject,epinephrine
adrenalin chloride,epinephrine hcl
epinephrine,epinephrine hcl/pf
eplerenone,eplerenone
inspra,eplerenone
ergoloid mesylates,ergoloid mesylates
lumizyme,alglucosidase alfa
praluent pen,alirocumab
praluent syringe,alirocumab
estazolam,estazolam
alora,estradiol
climara,estradiol
divigel,estradiol
elestrin,estradiol
estrace,estradiol
estraderm,estradiol
estradiol,estradiol
estrasorb,estradiol
estring,estradiol
estrogel,estradiol
evamist,estradiol
menostar,estradiol
minivelle,estradiol
vagifem,estradiol
vivelle,estradiol
vivelle-dot,estradiol
eszopiclone,eszopiclone
lunesta,eszopiclone
enbrel,etanercept
panretin,alitretinoin
trecator,ethionamide
ethosuximide,ethosuximide
zarontin,ethosuximide
peganone,ethotoin
allopurinol,allopurinol
etodolac,etodolac
etodolac er,etodolac
implanon,etonogestrel
zyloprim,allopurinol
nexplanon,etonogestrel
etoposide,etoposide
toposar,etoposide
intelence,etravirine
afinitor,everolimus
afinitor disperz,everolimus
zortress,everolimus
repatha sureclick,evolocumab
repatha syringe,evolocumab
aromasin,exemestane
exemestane,exemestane
byetta,exenatide
zetia,ezetimibe
famciclovir,famciclovir
famvir,famciclovir
famotidine,famotidine
pepcid,famotidine
famotidine,"famotidine in nacl,iso-osm/pf"
famotidine,famotidine/pf
uloric,febuxostat
felbamate,felbamate
felbatol,felbamate
felodipine er,felodipine
fenofibrate,fenofibrate
fenoglide,fenofibrate
lipofen,fenofibrate
lofibra,fenofibrate
fenofibrate,fenofibrate nanocrystallized
fenofibrate,"fenofibrate,micronized"
lofibra,"fenofibrate,micronized"
duragesic,fentanyl
fentanyl,fentanyl
subsys,fentanyl
auryxia,ferric citrate
dificid,fidaxomicin
neupogen,filgrastim
finasteride,finasteride
propecia,finasteride
proscar,finasteride
diflucan,fluconazole
fluconazole,fluconazole
ancobon,flucytosine
flucytosine,flucytosine
flumazenil,flumazenil
aerobid,flunisolide
alprazolam,alprazolam
aerospan,flunisolide
flunisolide,flunisolide
nasarel,flunisolide
capex shampoo,fluocinolone acetonide
derma-smoothe-fs,fluocinolone acetonide
fluocinolone acetonide,fluocinolone acetonide
synalar,fluocinolone acetonide
alprazolam er,alprazolam
